Created as New Dataset,Sample 001 By FTIR User 2.0 Date Friday, March 01 2024
cm-1,%T
3650.00,93.89
3649.00,93.75
3648.00,93.63
3647.00,93.52
3646.00,93.42
3645.00,93.32
3644.00,93.23
3643.00,93.13
3642.00,93.04
3641.00,92.94
3640.00,92.85
3639.00,92.74
3638.00,92.64
3637.00,92.54
3636.00,92.44
3635.00,92.34
3634.00,92.24
3633.00,92.16
3632.00,92.08
3631.00,91.98
3630.00,91.86
3629.00,91.71
3628.00,91.57
3627.00,91.45
3626.00,91.35
3625.00,91.27
3624.00,91.18
3623.00,91.10
3622.00,91.01
3621.00,90.92
3620.00,90.82
3619.00,90.71
3618.00,90.61
3617.00,90.51
3616.00,90.42
3615.00,90.32
3614.00,90.22
3613.00,90.12
3612.00,90.03
3611.00,89.93
3610.00,89.82
3609.00,89.70
3608.00,89.58
3607.00,89.47
3606.00,89.38
3605.00,89.28
3604.00,89.19
3603.00,89.09
3602.00,88.98
3601.00,88.88
3600.00,88.77
3599.00,88.67
3598.00,88.58
3597.00,88.48
3596.00,88.38
3595.00,88.27
3594.00,88.15
3593.00,88.05
3592.00,87.95
3591.00,87.86
3590.00,87.76
3589.00,87.65
3588.00,87.51
3587.00,87.37
3586.00,87.24
3585.00,87.12
3584.00,87.02
3583.00,86.92
3582.00,86.83
3581.00,86.73
3580.00,86.63
3579.00,86.53
3578.00,86.42
3577.00,86.31
3576.00,86.20
3575.00,86.08
3574.00,85.97
3573.00,85.86
3572.00,85.74
3571.00,85.64
3570.00,85.53
3569.00,85.42
3568.00,85.29
3567.00,85.15
3566.00,85.02
3565.00,84.90
3564.00,84.77
3563.00,84.65
3562.00,84.53
3561.00,84.41
3560.00,84.29
3559.00,84.18
3558.00,84.07
3557.00,83.96
3556.00,83.85
3555.00,83.73
3554.00,83.60
3553.00,83.47
3552.00,83.34
3551.00,83.22
3550.00,83.10
3549.00,82.98
3548.00,82.85
3547.00,82.69
3546.00,82.54
3545.00,82.40
3544.00,82.28
3543.00,82.18
3542.00,82.08
3541.00,81.98
3540.00,81.88
3539.00,81.76
3538.00,81.62
3537.00,81.49
3536.00,81.36
3535.00,81.25
3534.00,81.14
3533.00,81.03
3532.00,80.92
3531.00,80.80
3530.00,80.68
3529.00,80.55
3528.00,80.41
3527.00,80.27
3526.00,80.13
3525.00,79.98
3524.00,79.85
3523.00,79.73
3522.00,79.63
3521.00,79.53
3520.00,79.42
3519.00,79.30
3518.00,79.18
3517.00,79.04
3516.00,78.91
3515.00,78.78
3514.00,78.66
3513.00,78.55
3512.00,78.44
3511.00,78.33
3510.00,78.21
3509.00,78.08
3508.00,77.96
3507.00,77.84
3506.00,77.71
3505.00,77.57
3504.00,77.42
3503.00,77.28
3502.00,77.15
3501.00,77.04
3500.00,76.93
3499.00,76.81
3498.00,76.69
3497.00,76.56
3496.00,76.44
3495.00,76.33
3494.00,76.22
3493.00,76.11
3492.00,76.01
3491.00,75.90
3490.00,75.78
3489.00,75.65
3488.00,75.51
3487.00,75.38
3486.00,75.27
3485.00,75.17
3484.00,75.06
3483.00,74.94
3482.00,74.80
3481.00,74.66
3480.00,74.52
3479.00,74.41
3478.00,74.31
3477.00,74.22
3476.00,74.12
3475.00,74.01
3474.00,73.89
3473.00,73.75
3472.00,73.61
3471.00,73.46
3470.00,73.30
3469.00,73.16
3468.00,73.04
3467.00,72.94
3466.00,72.85
3465.00,72.76
3464.00,72.67
3463.00,72.56
3462.00,72.43
3461.00,72.30
3460.00,72.18
3459.00,72.07
3458.00,71.98
3457.00,71.88
3456.00,71.78
3455.00,71.67
3454.00,71.56
3453.00,71.44
3452.00,71.33
3451.00,71.21
3450.00,71.09
3449.00,70.97
3448.00,70.84
3447.00,70.71
3446.00,70.60
3445.00,70.49
3444.00,70.38
3443.00,70.27
3442.00,70.15
3441.00,70.02
3440.00,69.88
3439.00,69.73
3438.00,69.58
3437.00,69.44
3436.00,69.32
3435.00,69.21
3434.00,69.12
3433.00,69.03
3432.00,68.93
3431.00,68.81
3430.00,68.70
3429.00,68.61
3428.00,68.52
3427.00,68.44
3426.00,68.36
3425.00,68.27
3424.00,68.17
3423.00,68.06
3422.00,67.94
3421.00,67.83
3420.00,67.72
3419.00,67.62
3418.00,67.53
3417.00,67.43
3416.00,67.32
3415.00,67.20
3414.00,67.07
3413.00,66.96
3412.00,66.87
3411.00,66.78
3410.00,66.69
3409.00,66.60
3408.00,66.53
3407.00,66.45
3406.00,66.37
3405.00,66.27
3404.00,66.15
3403.00,66.02
3402.00,65.89
3401.00,65.79
3400.00,65.72
3399.00,65.67
3398.00,65.63
3397.00,65.58
3396.00,65.51
3395.00,65.42
3394.00,65.32
3393.00,65.22
3392.00,65.14
3391.00,65.09
3390.00,65.06
3389.00,65.03
3388.00,65.00
3387.00,64.95
3386.00,64.90
3385.00,64.84
3384.00,64.78
3383.00,64.71
3382.00,64.64
3381.00,64.58
3380.00,64.51
