Created as New Dataset,Sample 008 By FTIR User 2.0 Date Friday, April 12 2024
cm-1,%T
3650.00,96.34
3649.00,96.26
3648.00,96.18
3647.00,96.11
3646.00,96.07
3645.00,96.05
3644.00,96.04
3643.00,96.02
3642.00,96.00
3641.00,95.96
3640.00,95.91
3639.00,95.84
3638.00,95.76
3637.00,95.69
3636.00,95.65
3635.00,95.63
3634.00,95.63
3633.00,95.61
3632.00,95.57
3631.00,95.51
3630.00,95.44
3629.00,95.35
3628.00,95.25
3627.00,95.18
3626.00,95.12
3625.00,95.06
3624.00,95.00
3623.00,94.93
3622.00,94.86
3621.00,94.77
3620.00,94.67
3619.00,94.56
3618.00,94.45
3617.00,94.35
3616.00,94.26
3615.00,94.17
3614.00,94.07
3613.00,93.97
3612.00,93.88
3611.00,93.78
3610.00,93.68
3609.00,93.58
3608.00,93.48
3607.00,93.39
3606.00,93.30
3605.00,93.21
3604.00,93.12
3603.00,93.02
3602.00,92.92
3601.00,92.81
3600.00,92.69
3599.00,92.58
3598.00,92.46
3597.00,92.34
3596.00,92.21
3595.00,92.08
3594.00,91.96
3593.00,91.84
3592.00,91.73
3591.00,91.63
3590.00,91.51
3589.00,91.38
3588.00,91.23
3587.00,91.07
3586.00,90.92
3585.00,90.80
3584.00,90.70
3583.00,90.59
3582.00,90.49
3581.00,90.37
3580.00,90.25
3579.00,90.13
3578.00,90.01
3577.00,89.88
3576.00,89.75
3575.00,89.62
3574.00,89.48
3573.00,89.35
3572.00,89.21
3571.00,89.07
3570.00,88.93
3569.00,88.78
3568.00,88.63
3567.00,88.47
3566.00,88.31
3565.00,88.17
3564.00,88.04
3563.00,87.91
3562.00,87.79
3561.00,87.66
3560.00,87.53
3559.00,87.41
3558.00,87.28
3557.00,87.15
3556.00,87.02
3555.00,86.88
3554.00,86.74
3553.00,86.58
3552.00,86.43
3551.00,86.29
3550.00,86.15
3549.00,86.00
3548.00,85.85
3547.00,85.68
3546.00,85.52
3545.00,85.37
3544.00,85.24
3543.00,85.13
3542.00,85.02
3541.00,84.91
3540.00,84.78
3539.00,84.64
3538.00,84.49
3537.00,84.35
3536.00,84.21
3535.00,84.08
3534.00,83.96
3533.00,83.84
3532.00,83.70
3531.00,83.57
3530.00,83.42
3529.00,83.28
3528.00,83.14
