XY
	ZCURVE (sheetcut_hwmg_electrodes_pair2_ex2.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair2_ex2.DTA)
1.000e+006	3.558e+002	1.000e+006	-1.188e-001
7.944e+005	3.564e+002	7.944e+005	-6.923e-001
6.310e+005	3.567e+002	6.310e+005	-7.887e-001
5.013e+005	3.573e+002	5.013e+005	-1.045e+000
3.981e+005	3.570e+002	3.981e+005	-9.163e-001
3.162e+005	3.538e+002	3.162e+005	-1.134e+000
2.512e+005	3.561e+002	2.512e+005	-7.025e-001
1.996e+005	3.575e+002	1.996e+005	-1.148e+000
1.585e+005	3.577e+002	1.585e+005	-1.132e+000
1.259e+005	3.602e+002	1.259e+005	-1.312e+000
1.000e+005	3.596e+002	1.000e+005	-1.555e+000
7.951e+004	3.605e+002	7.951e+004	-1.856e+000
6.311e+004	3.610e+002	6.311e+004	-2.170e+000
5.021e+004	3.623e+002	5.021e+004	-2.571e+000
3.990e+004	3.640e+002	3.990e+004	-3.026e+000
3.170e+004	3.652e+002	3.170e+004	-3.551e+000
2.514e+004	3.668e+002	2.514e+004	-4.158e+000
1.998e+004	3.715e+002	1.998e+004	-4.843e+000
1.588e+004	3.736e+002	1.588e+004	-5.686e+000
1.260e+004	3.771e+002	1.260e+004	-6.651e+000
1.002e+004	3.824e+002	1.002e+004	-7.703e+000
7.928e+003	3.881e+002	7.928e+003	-8.942e+000
6.308e+003	3.957e+002	6.308e+003	-1.028e+001
5.035e+003	4.055e+002	5.035e+003	-1.171e+001
3.993e+003	4.177e+002	3.993e+003	-1.330e+001
3.144e+003	4.332e+002	3.144e+003	-1.500e+001
2.520e+003	4.507e+002	2.520e+003	-1.659e+001
2.001e+003	4.725e+002	2.001e+003	-1.819e+001
1.581e+003	4.988e+002	1.581e+003	-1.972e+001
1.254e+003	5.288e+002	1.254e+003	-2.106e+001
1.001e+003	5.620e+002	1.001e+003	-2.217e+001
7.900e+002	6.009e+002	7.900e+002	-2.312e+001
6.288e+002	6.423e+002	6.288e+002	-2.384e+001
5.022e+002	6.867e+002	5.022e+002	-2.435e+001
4.002e+002	7.353e+002	4.002e+002	-2.470e+001
3.155e+002	7.901e+002	3.155e+002	-2.490e+001
2.520e+002	8.458e+002	2.520e+002	-2.495e+001
2.003e+002	9.068e+002	2.003e+002	-2.486e+001
1.580e+002	9.745e+002	1.580e+002	-2.461e+001
1.256e+002	1.044e+003	1.256e+002	-2.419e+001
9.973e+001	1.118e+003	9.973e+001	-2.358e+001
7.945e+001	1.195e+003	7.945e+001	-2.279e+001
6.292e+001	1.274e+003	6.292e+001	-2.179e+001
4.987e+001	1.354e+003	4.987e+001	-2.044e+001
4.006e+001	1.425e+003	4.006e+001	-1.918e+001
3.167e+001	1.500e+003	3.167e+001	-1.766e+001
2.493e+001	1.572e+003	2.493e+001	-1.610e+001
2.003e+001	1.631e+003	2.003e+001	-1.465e+001
1.578e+001	1.688e+003	1.578e+001	-1.311e+001
1.247e+001	1.739e+003	1.247e+001	-1.167e+001
9.973e+000	1.780e+003	9.973e+000	-1.040e+001
			
