XY
	ZCURVE (sheetcut_hwmg_electrodes_pair2_ex7.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair2_ex7.DTA)
1.000e+006	3.236e+002	1.000e+006	-2.097e-001
7.944e+005	3.228e+002	7.944e+005	-2.899e-001
6.310e+005	3.234e+002	6.310e+005	-4.720e-001
5.013e+005	3.248e+002	5.013e+005	-4.941e-001
3.981e+005	3.246e+002	3.981e+005	-5.128e-001
3.162e+005	3.246e+002	3.162e+005	-6.574e-001
2.512e+005	3.249e+002	2.512e+005	-9.176e-001
1.996e+005	3.253e+002	1.996e+005	-8.447e-001
1.585e+005	3.251e+002	1.585e+005	-1.128e+000
1.259e+005	3.260e+002	1.259e+005	-1.350e+000
1.000e+005	3.268e+002	1.000e+005	-1.540e+000
7.951e+004	3.276e+002	7.951e+004	-1.800e+000
6.311e+004	3.285e+002	6.311e+004	-2.209e+000
5.021e+004	3.296e+002	5.021e+004	-2.611e+000
3.990e+004	3.310e+002	3.990e+004	-3.090e+000
3.170e+004	3.326e+002	3.170e+004	-3.658e+000
2.514e+004	3.347e+002	2.514e+004	-4.303e+000
1.998e+004	3.373e+002	1.998e+004	-5.078e+000
1.588e+004	3.405e+002	1.588e+004	-5.952e+000
1.260e+004	3.445e+002	1.260e+004	-6.972e+000
1.002e+004	3.493e+002	1.002e+004	-8.121e+000
7.928e+003	3.555e+002	7.928e+003	-9.445e+000
6.308e+003	3.633e+002	6.308e+003	-1.089e+001
5.035e+003	3.726e+002	5.035e+003	-1.244e+001
3.993e+003	3.846e+002	3.993e+003	-1.415e+001
3.144e+003	3.999e+002	3.144e+003	-1.598e+001
2.520e+003	4.172e+002	2.520e+003	-1.768e+001
2.001e+003	4.390e+002	2.001e+003	-1.939e+001
1.581e+003	4.653e+002	1.581e+003	-2.100e+001
1.254e+003	4.955e+002	1.254e+003	-2.240e+001
1.001e+003	5.289e+002	1.001e+003	-2.354e+001
7.900e+002	5.681e+002	7.900e+002	-2.449e+001
6.288e+002	6.098e+002	6.288e+002	-2.518e+001
5.022e+002	6.546e+002	5.022e+002	-2.566e+001
4.002e+002	7.037e+002	4.002e+002	-2.595e+001
3.155e+002	7.590e+002	3.155e+002	-2.609e+001
2.520e+002	8.152e+002	2.520e+002	-2.607e+001
2.003e+002	8.771e+002	2.003e+002	-2.589e+001
1.580e+002	9.455e+002	1.580e+002	-2.553e+001
1.256e+002	1.016e+003	1.256e+002	-2.497e+001
9.973e+001	1.090e+003	9.973e+001	-2.423e+001
7.945e+001	1.166e+003	7.945e+001	-2.331e+001
6.292e+001	1.247e+003	6.292e+001	-2.210e+001
4.987e+001	1.322e+003	4.987e+001	-2.078e+001
4.006e+001	1.394e+003	4.006e+001	-1.939e+001
3.167e+001	1.467e+003	3.167e+001	-1.777e+001
2.493e+001	1.536e+003	2.493e+001	-1.613e+001
2.003e+001	1.593e+003	2.003e+001	-1.461e+001
1.578e+001	1.649e+003	1.578e+001	-1.302e+001
1.247e+001	1.697e+003	1.247e+001	-1.155e+001
9.973e+000	1.737e+003	9.973e+000	-1.028e+001
			
