XY
	ZCURVE (sheetcut_hwmg_electrodes_pair2_ex1.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair2_ex1.DTA)
1.000e+006	3.752e+002	1.000e+006	-2.816e-001
7.944e+005	3.743e+002	7.944e+005	-9.776e-001
6.310e+005	3.755e+002	6.310e+005	-9.431e-001
5.013e+005	3.746e+002	5.013e+005	-9.828e-001
3.981e+005	3.763e+002	3.981e+005	-8.148e-001
3.162e+005	3.764e+002	3.162e+005	-9.743e-001
2.512e+005	3.784e+002	2.512e+005	-1.031e+000
1.996e+005	3.786e+002	1.996e+005	-1.276e+000
1.585e+005	3.779e+002	1.585e+005	-1.316e+000
1.259e+005	3.778e+002	1.259e+005	-1.566e+000
1.000e+005	3.793e+002	1.000e+005	-1.624e+000
7.951e+004	3.803e+002	7.951e+004	-1.848e+000
6.311e+004	3.813e+002	6.311e+004	-2.213e+000
5.021e+004	3.828e+002	5.021e+004	-2.592e+000
3.990e+004	3.844e+002	3.990e+004	-3.037e+000
3.170e+004	3.863e+002	3.170e+004	-3.550e+000
2.514e+004	3.889e+002	2.514e+004	-4.135e+000
1.998e+004	3.918e+002	1.998e+004	-4.820e+000
1.588e+004	3.954e+002	1.588e+004	-5.599e+000
1.260e+004	3.997e+002	1.260e+004	-6.494e+000
1.002e+004	4.049e+002	1.002e+004	-7.512e+000
7.928e+003	4.116e+002	7.928e+003	-8.675e+000
6.308e+003	4.197e+002	6.308e+003	-9.939e+000
5.035e+003	4.295e+002	5.035e+003	-1.130e+001
3.993e+003	4.419e+002	3.993e+003	-1.280e+001
3.144e+003	4.576e+002	3.144e+003	-1.441e+001
2.520e+003	4.752e+002	2.520e+003	-1.593e+001
2.001e+003	4.970e+002	2.001e+003	-1.747e+001
1.581e+003	5.233e+002	1.581e+003	-1.895e+001
1.254e+003	5.532e+002	1.254e+003	-2.026e+001
1.001e+003	5.864e+002	1.001e+003	-2.136e+001
7.900e+002	6.252e+002	7.900e+002	-2.232e+001
6.288e+002	6.666e+002	6.288e+002	-2.304e+001
5.022e+002	7.110e+002	5.022e+002	-2.359e+001
4.002e+002	7.596e+002	4.002e+002	-2.398e+001
3.155e+002	8.146e+002	3.155e+002	-2.423e+001
2.520e+002	8.706e+002	2.520e+002	-2.434e+001
2.003e+002	9.320e+002	2.003e+002	-2.430e+001
1.580e+002	1.000e+003	1.580e+002	-2.411e+001
1.256e+002	1.071e+003	1.256e+002	-2.374e+001
9.973e+001	1.145e+003	9.973e+001	-2.319e+001
7.945e+001	1.223e+003	7.945e+001	-2.242e+001
6.292e+001	1.305e+003	6.292e+001	-2.141e+001
4.987e+001	1.383e+003	4.987e+001	-2.020e+001
4.006e+001	1.456e+003	4.006e+001	-1.898e+001
3.167e+001	1.532e+003	3.167e+001	-1.750e+001
2.493e+001	1.604e+003	2.493e+001	-1.597e+001
2.003e+001	1.663e+003	2.003e+001	-1.454e+001
1.578e+001	1.722e+003	1.578e+001	-1.304e+001
1.247e+001	1.773e+003	1.247e+001	-1.163e+001
9.973e+000	1.814e+003	9.973e+000	-1.038e+001
			
