XY
	ZCURVE (sheetcut_hwmg_electrodes_pair2_ex4.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair2_ex4.DTA)
1.000e+006	3.373e+002	1.000e+006	-2.357e-001
7.944e+005	3.375e+002	7.944e+005	-4.460e-001
6.310e+005	3.381e+002	6.310e+005	-4.314e-001
5.013e+005	3.383e+002	5.013e+005	-6.269e-001
3.981e+005	3.388e+002	3.981e+005	-6.968e-001
3.162e+005	3.385e+002	3.162e+005	-7.617e-001
2.512e+005	3.395e+002	2.512e+005	-8.121e-001
1.996e+005	3.388e+002	1.996e+005	-9.741e-001
1.585e+005	3.389e+002	1.585e+005	-1.151e+000
1.259e+005	3.401e+002	1.259e+005	-1.329e+000
1.000e+005	3.410e+002	1.000e+005	-1.546e+000
7.951e+004	3.417e+002	7.951e+004	-1.785e+000
6.311e+004	3.426e+002	6.311e+004	-2.180e+000
5.021e+004	3.438e+002	5.021e+004	-2.578e+000
3.990e+004	3.452e+002	3.990e+004	-3.051e+000
3.170e+004	3.470e+002	3.170e+004	-3.604e+000
2.514e+004	3.491e+002	2.514e+004	-4.227e+000
1.998e+004	3.518e+002	1.998e+004	-4.973e+000
1.588e+004	3.550e+002	1.588e+004	-5.828e+000
1.260e+004	3.593e+002	1.260e+004	-6.817e+000
1.002e+004	3.642e+002	1.002e+004	-7.931e+000
7.928e+003	3.705e+002	7.928e+003	-9.201e+000
6.308e+003	3.783e+002	6.308e+003	-1.060e+001
5.035e+003	3.878e+002	5.035e+003	-1.210e+001
3.993e+003	3.999e+002	3.993e+003	-1.375e+001
3.144e+003	4.153e+002	3.144e+003	-1.552e+001
2.520e+003	4.329e+002	2.520e+003	-1.717e+001
2.001e+003	4.547e+002	2.001e+003	-1.882e+001
1.581e+003	4.811e+002	1.581e+003	-2.039e+001
1.254e+003	5.112e+002	1.254e+003	-2.175e+001
1.001e+003	5.445e+002	1.001e+003	-2.287e+001
7.900e+002	5.836e+002	7.900e+002	-2.381e+001
6.288e+002	6.252e+002	6.288e+002	-2.450e+001
5.022e+002	6.698e+002	5.022e+002	-2.498e+001
4.002e+002	7.184e+002	4.002e+002	-2.529e+001
3.155e+002	7.734e+002	3.155e+002	-2.545e+001
2.520e+002	8.292e+002	2.520e+002	-2.546e+001
2.003e+002	8.902e+002	2.003e+002	-2.532e+001
1.580e+002	9.579e+002	1.580e+002	-2.501e+001
1.256e+002	1.028e+003	1.256e+002	-2.452e+001
9.973e+001	1.101e+003	9.973e+001	-2.384e+001
7.945e+001	1.178e+003	7.945e+001	-2.297e+001
6.292e+001	1.258e+003	6.292e+001	-2.179e+001
4.987e+001	1.334e+003	4.987e+001	-2.057e+001
4.006e+001	1.406e+003	4.006e+001	-1.928e+001
3.167e+001	1.480e+003	3.167e+001	-1.772e+001
2.493e+001	1.549e+003	2.493e+001	-1.613e+001
2.003e+001	1.608e+003	2.003e+001	-1.465e+001
1.578e+001	1.665e+003	1.578e+001	-1.310e+001
1.247e+001	1.714e+003	1.247e+001	-1.163e+001
9.973e+000	1.755e+003	9.973e+000	-1.036e+001
			
