XY
	ZCURVE (sheetcut_hwmg_electrodes_pair2_ex10.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair2_ex10.DTA)
1.000e+006	3.151e+002	1.000e+006	1.712e-001
7.944e+005	3.156e+002	7.944e+005	-2.705e-001
6.310e+005	3.166e+002	6.310e+005	-4.119e-001
5.013e+005	3.168e+002	5.013e+005	-4.075e-001
3.981e+005	3.176e+002	3.981e+005	-5.520e-001
3.162e+005	3.178e+002	3.162e+005	-5.655e-001
2.512e+005	3.177e+002	2.512e+005	-7.651e-001
1.996e+005	3.185e+002	1.996e+005	-9.644e-001
1.585e+005	3.179e+002	1.585e+005	-1.128e+000
1.259e+005	3.186e+002	1.259e+005	-1.328e+000
1.000e+005	3.193e+002	1.000e+005	-1.530e+000
7.951e+004	3.199e+002	7.951e+004	-1.786e+000
6.311e+004	3.208e+002	6.311e+004	-2.193e+000
5.021e+004	3.219e+002	5.021e+004	-2.618e+000
3.990e+004	3.232e+002	3.990e+004	-3.085e+000
3.170e+004	3.249e+002	3.170e+004	-3.664e+000
2.514e+004	3.269e+002	2.514e+004	-4.321e+000
1.998e+004	3.293e+002	1.998e+004	-5.099e+000
1.588e+004	3.324e+002	1.588e+004	-5.981e+000
1.260e+004	3.362e+002	1.260e+004	-7.015e+000
1.002e+004	3.409e+002	1.002e+004	-8.196e+000
7.928e+003	3.471e+002	7.928e+003	-9.520e+000
6.308e+003	3.546e+002	6.308e+003	-1.099e+001
5.035e+003	3.639e+002	5.035e+003	-1.257e+001
3.993e+003	3.757e+002	3.993e+003	-1.432e+001
3.144e+003	3.909e+002	3.144e+003	-1.619e+001
2.520e+003	4.082e+002	2.520e+003	-1.792e+001
2.001e+003	4.298e+002	2.001e+003	-1.967e+001
1.581e+003	4.560e+002	1.581e+003	-2.132e+001
1.254e+003	4.860e+002	1.254e+003	-2.275e+001
1.001e+003	5.193e+002	1.001e+003	-2.391e+001
7.900e+002	5.584e+002	7.900e+002	-2.489e+001
6.288e+002	6.002e+002	6.288e+002	-2.559e+001
5.022e+002	6.451e+002	5.022e+002	-2.608e+001
4.002e+002	6.943e+002	4.002e+002	-2.638e+001
3.155e+002	7.501e+002	3.155e+002	-2.652e+001
2.520e+002	8.068e+002	2.520e+002	-2.649e+001
2.003e+002	8.691e+002	2.003e+002	-2.630e+001
1.580e+002	9.383e+002	1.580e+002	-2.591e+001
1.256e+002	1.009e+003	1.256e+002	-2.533e+001
9.973e+001	1.084e+003	9.973e+001	-2.453e+001
7.945e+001	1.161e+003	7.945e+001	-2.355e+001
6.292e+001	1.240e+003	6.292e+001	-2.233e+001
4.987e+001	1.317e+003	4.987e+001	-2.092e+001
4.006e+001	1.390e+003	4.006e+001	-1.945e+001
3.167e+001	1.462e+003	3.167e+001	-1.777e+001
2.493e+001	1.530e+003	2.493e+001	-1.609e+001
2.003e+001	1.586e+003	2.003e+001	-1.456e+001
1.578e+001	1.641e+003	1.578e+001	-1.296e+001
1.247e+001	1.688e+003	1.247e+001	-1.147e+001
9.973e+000	1.727e+003	9.973e+000	-1.019e+001
			
