XY
	ZCURVE (sheetcut_hwmg_electrodes_pair2_ex6.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair2_ex6.DTA)
1.000e+006	3.253e+002	1.000e+006	-1.172e-001
7.944e+005	3.266e+002	7.944e+005	-2.832e-001
6.310e+005	3.270e+002	6.310e+005	-4.465e-001
5.013e+005	3.286e+002	5.013e+005	-4.429e-001
3.981e+005	3.280e+002	3.981e+005	-7.243e-001
3.162e+005	3.286e+002	3.162e+005	-7.808e-001
2.512e+005	3.278e+002	2.512e+005	-8.546e-001
1.996e+005	3.285e+002	1.996e+005	-1.017e+000
1.585e+005	3.297e+002	1.585e+005	-1.044e+000
1.259e+005	3.292e+002	1.259e+005	-1.278e+000
1.000e+005	3.305e+002	1.000e+005	-1.551e+000
7.951e+004	3.312e+002	7.951e+004	-1.803e+000
6.311e+004	3.321e+002	6.311e+004	-2.199e+000
5.021e+004	3.332e+002	5.021e+004	-2.603e+000
3.990e+004	3.346e+002	3.990e+004	-3.091e+000
3.170e+004	3.364e+002	3.170e+004	-3.641e+000
2.514e+004	3.385e+002	2.514e+004	-4.308e+000
1.998e+004	3.410e+002	1.998e+004	-5.053e+000
1.588e+004	3.443e+002	1.588e+004	-5.926e+000
1.260e+004	3.482e+002	1.260e+004	-6.939e+000
1.002e+004	3.531e+002	1.002e+004	-8.075e+000
7.928e+003	3.594e+002	7.928e+003	-9.407e+000
6.308e+003	3.673e+002	6.308e+003	-1.083e+001
5.035e+003	3.767e+002	5.035e+003	-1.237e+001
3.993e+003	3.888e+002	3.993e+003	-1.407e+001
3.144e+003	4.042e+002	3.144e+003	-1.588e+001
2.520e+003	4.217e+002	2.520e+003	-1.756e+001
2.001e+003	4.435e+002	2.001e+003	-1.925e+001
1.581e+003	4.700e+002	1.581e+003	-2.085e+001
1.254e+003	5.002e+002	1.254e+003	-2.224e+001
1.001e+003	5.336e+002	1.001e+003	-2.337e+001
7.900e+002	5.728e+002	7.900e+002	-2.431e+001
6.288e+002	6.146e+002	6.288e+002	-2.500e+001
5.022e+002	6.594e+002	5.022e+002	-2.547e+001
4.002e+002	7.083e+002	4.002e+002	-2.576e+001
3.155e+002	7.637e+002	3.155e+002	-2.591e+001
2.520e+002	8.199e+002	2.520e+002	-2.589e+001
2.003e+002	8.815e+002	2.003e+002	-2.571e+001
1.580e+002	9.498e+002	1.580e+002	-2.537e+001
1.256e+002	1.020e+003	1.256e+002	-2.484e+001
9.973e+001	1.094e+003	9.973e+001	-2.411e+001
7.945e+001	1.170e+003	7.945e+001	-2.317e+001
6.292e+001	1.249e+003	6.292e+001	-2.190e+001
4.987e+001	1.326e+003	4.987e+001	-2.074e+001
4.006e+001	1.398e+003	4.006e+001	-1.936e+001
3.167e+001	1.471e+003	3.167e+001	-1.776e+001
2.493e+001	1.540e+003	2.493e+001	-1.612e+001
2.003e+001	1.598e+003	2.003e+001	-1.462e+001
1.578e+001	1.654e+003	1.578e+001	-1.304e+001
1.247e+001	1.702e+003	1.247e+001	-1.158e+001
9.973e+000	1.742e+003	9.973e+000	-1.030e+001
			
