XY
	ZCURVE (sheetcut_hwmg_electrodes_pair2_ex3.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair2_ex3.DTA)
1.000e+006	3.443e+002	1.000e+006	-1.829e-001
7.944e+005	3.455e+002	7.944e+005	-4.442e-001
6.310e+005	3.455e+002	6.310e+005	-4.157e-001
5.013e+005	3.450e+002	5.013e+005	-5.236e-001
3.981e+005	3.453e+002	3.981e+005	-6.764e-001
3.162e+005	3.459e+002	3.162e+005	-7.302e-001
2.512e+005	3.470e+002	2.512e+005	-8.054e-001
1.996e+005	3.463e+002	1.996e+005	-1.011e+000
1.585e+005	3.459e+002	1.585e+005	-1.018e+000
1.259e+005	3.483e+002	1.259e+005	-1.323e+000
1.000e+005	3.486e+002	1.000e+005	-1.539e+000
7.951e+004	3.494e+002	7.951e+004	-1.797e+000
6.311e+004	3.504e+002	6.311e+004	-2.183e+000
5.021e+004	3.515e+002	5.021e+004	-2.578e+000
3.990e+004	3.530e+002	3.990e+004	-3.039e+000
3.170e+004	3.549e+002	3.170e+004	-3.574e+000
2.514e+004	3.572e+002	2.514e+004	-4.201e+000
1.998e+004	3.598e+002	1.998e+004	-4.931e+000
1.588e+004	3.632e+002	1.588e+004	-5.758e+000
1.260e+004	3.673e+002	1.260e+004	-6.734e+000
1.002e+004	3.723e+002	1.002e+004	-7.820e+000
7.928e+003	3.787e+002	7.928e+003	-9.073e+000
6.308e+003	3.865e+002	6.308e+003	-1.045e+001
5.035e+003	3.961e+002	5.035e+003	-1.191e+001
3.993e+003	4.082e+002	3.993e+003	-1.354e+001
3.144e+003	4.238e+002	3.144e+003	-1.527e+001
2.520e+003	4.413e+002	2.520e+003	-1.688e+001
2.001e+003	4.631e+002	2.001e+003	-1.851e+001
1.581e+003	4.895e+002	1.581e+003	-2.006e+001
1.254e+003	5.195e+002	1.254e+003	-2.141e+001
1.001e+003	5.528e+002	1.001e+003	-2.253e+001
7.900e+002	5.918e+002	7.900e+002	-2.347e+001
6.288e+002	6.333e+002	6.288e+002	-2.416e+001
5.022e+002	6.777e+002	5.022e+002	-2.466e+001
4.002e+002	7.264e+002	4.002e+002	-2.498e+001
3.155e+002	7.812e+002	3.155e+002	-2.516e+001
2.520e+002	8.368e+002	2.520e+002	-2.518e+001
2.003e+002	8.980e+002	2.003e+002	-2.508e+001
1.580e+002	9.657e+002	1.580e+002	-2.480e+001
1.256e+002	1.035e+003	1.256e+002	-2.435e+001
9.973e+001	1.109e+003	9.973e+001	-2.370e+001
7.945e+001	1.185e+003	7.945e+001	-2.289e+001
6.292e+001	1.266e+003	6.292e+001	-2.180e+001
4.987e+001	1.343e+003	4.987e+001	-2.051e+001
4.006e+001	1.414e+003	4.006e+001	-1.923e+001
3.167e+001	1.489e+003	3.167e+001	-1.770e+001
2.493e+001	1.559e+003	2.493e+001	-1.613e+001
2.003e+001	1.618e+003	2.003e+001	-1.466e+001
1.578e+001	1.676e+003	1.578e+001	-1.311e+001
1.247e+001	1.726e+003	1.247e+001	-1.167e+001
9.973e+000	1.767e+003	9.973e+000	-1.039e+001
			
