XY
	ZCURVE (sheetcut_hwmg_electrodes_pair2_ex8.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair2_ex8.DTA)
1.000e+006	3.198e+002	1.000e+006	-7.375e-003
7.944e+005	3.200e+002	7.944e+005	-3.982e-001
6.310e+005	3.205e+002	6.310e+005	-4.494e-001
5.013e+005	3.213e+002	5.013e+005	-5.620e-001
3.981e+005	3.218e+002	3.981e+005	-6.443e-001
3.162e+005	3.218e+002	3.162e+005	-6.091e-001
2.512e+005	3.214e+002	2.512e+005	-8.459e-001
1.996e+005	3.221e+002	1.996e+005	-1.056e+000
1.585e+005	3.223e+002	1.585e+005	-1.082e+000
1.259e+005	3.228e+002	1.259e+005	-1.466e+000
1.000e+005	3.235e+002	1.000e+005	-1.545e+000
7.951e+004	3.242e+002	7.951e+004	-1.803e+000
6.311e+004	3.251e+002	6.311e+004	-2.203e+000
5.021e+004	3.262e+002	5.021e+004	-2.628e+000
3.990e+004	3.275e+002	3.990e+004	-3.094e+000
3.170e+004	3.292e+002	3.170e+004	-3.662e+000
2.514e+004	3.312e+002	2.514e+004	-4.320e+000
1.998e+004	3.338e+002	1.998e+004	-5.090e+000
1.588e+004	3.368e+002	1.588e+004	-5.960e+000
1.260e+004	3.408e+002	1.260e+004	-6.988e+000
1.002e+004	3.455e+002	1.002e+004	-8.151e+000
7.928e+003	3.518e+002	7.928e+003	-9.480e+000
6.308e+003	3.594e+002	6.308e+003	-1.094e+001
5.035e+003	3.688e+002	5.035e+003	-1.250e+001
3.993e+003	3.807e+002	3.993e+003	-1.422e+001
3.144e+003	3.960e+002	3.144e+003	-1.607e+001
2.520e+003	4.134e+002	2.520e+003	-1.778e+001
2.001e+003	4.351e+002	2.001e+003	-1.951e+001
1.581e+003	4.613e+002	1.581e+003	-2.113e+001
1.254e+003	4.914e+002	1.254e+003	-2.254e+001
1.001e+003	5.247e+002	1.001e+003	-2.369e+001
7.900e+002	5.640e+002	7.900e+002	-2.465e+001
6.288e+002	6.057e+002	6.288e+002	-2.534e+001
5.022e+002	6.505e+002	5.022e+002	-2.582e+001
4.002e+002	6.996e+002	4.002e+002	-2.612e+001
3.155e+002	7.551e+002	3.155e+002	-2.626e+001
2.520e+002	8.116e+002	2.520e+002	-2.623e+001
2.003e+002	8.734e+002	2.003e+002	-2.605e+001
1.580e+002	9.422e+002	1.580e+002	-2.567e+001
1.256e+002	1.013e+003	1.256e+002	-2.512e+001
9.973e+001	1.087e+003	9.973e+001	-2.435e+001
7.945e+001	1.163e+003	7.945e+001	-2.338e+001
6.292e+001	1.241e+003	6.292e+001	-2.220e+001
4.987e+001	1.320e+003	4.987e+001	-2.079e+001
4.006e+001	1.392e+003	4.006e+001	-1.942e+001
3.167e+001	1.465e+003	3.167e+001	-1.777e+001
2.493e+001	1.533e+003	2.493e+001	-1.611e+001
2.003e+001	1.589e+003	2.003e+001	-1.460e+001
1.578e+001	1.645e+003	1.578e+001	-1.302e+001
1.247e+001	1.693e+003	1.247e+001	-1.155e+001
9.973e+000	1.732e+003	9.973e+000	-1.025e+001
			
