XY
	ZCURVE (sheetcut_hwmg_electrodes_pair2_ex9.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair2_ex9.DTA)
1.000e+006	3.162e+002	1.000e+006	-3.686e-002
7.944e+005	3.173e+002	7.944e+005	-2.527e-001
6.310e+005	3.174e+002	6.310e+005	-3.589e-001
5.013e+005	3.181e+002	5.013e+005	-4.896e-001
3.981e+005	3.188e+002	3.981e+005	-6.804e-001
3.162e+005	3.189e+002	3.162e+005	-7.509e-001
2.512e+005	3.192e+002	2.512e+005	-8.718e-001
1.996e+005	3.192e+002	1.996e+005	-8.286e-001
1.585e+005	3.199e+002	1.585e+005	-9.659e-001
1.259e+005	3.203e+002	1.259e+005	-1.150e+000
1.000e+005	3.209e+002	1.000e+005	-1.548e+000
7.951e+004	3.216e+002	7.951e+004	-1.813e+000
6.311e+004	3.225e+002	6.311e+004	-2.200e+000
5.021e+004	3.236e+002	5.021e+004	-2.612e+000
3.990e+004	3.250e+002	3.990e+004	-3.106e+000
3.170e+004	3.266e+002	3.170e+004	-3.672e+000
2.514e+004	3.287e+002	2.514e+004	-4.332e+000
1.998e+004	3.312e+002	1.998e+004	-5.103e+000
1.588e+004	3.342e+002	1.588e+004	-5.982e+000
1.260e+004	3.381e+002	1.260e+004	-7.015e+000
1.002e+004	3.430e+002	1.002e+004	-8.169e+000
7.928e+003	3.491e+002	7.928e+003	-9.516e+000
6.308e+003	3.567e+002	6.308e+003	-1.098e+001
5.035e+003	3.661e+002	5.035e+003	-1.255e+001
3.993e+003	3.780e+002	3.993e+003	-1.429e+001
3.144e+003	3.933e+002	3.144e+003	-1.614e+001
2.520e+003	4.106e+002	2.520e+003	-1.787e+001
2.001e+003	4.322e+002	2.001e+003	-1.961e+001
1.581e+003	4.585e+002	1.581e+003	-2.124e+001
1.254e+003	4.886e+002	1.254e+003	-2.266e+001
1.001e+003	5.219e+002	1.001e+003	-2.382e+001
7.900e+002	5.611e+002	7.900e+002	-2.479e+001
6.288e+002	6.029e+002	6.288e+002	-2.548e+001
5.022e+002	6.477e+002	5.022e+002	-2.597e+001
4.002e+002	6.970e+002	4.002e+002	-2.626e+001
3.155e+002	7.526e+002	3.155e+002	-2.640e+001
2.520e+002	8.093e+002	2.520e+002	-2.638e+001
2.003e+002	8.715e+002	2.003e+002	-2.618e+001
1.580e+002	9.403e+002	1.580e+002	-2.579e+001
1.256e+002	1.011e+003	1.256e+002	-2.522e+001
9.973e+001	1.086e+003	9.973e+001	-2.444e+001
7.945e+001	1.163e+003	7.945e+001	-2.348e+001
6.292e+001	1.244e+003	6.292e+001	-2.222e+001
4.987e+001	1.319e+003	4.987e+001	-2.087e+001
4.006e+001	1.391e+003	4.006e+001	-1.941e+001
3.167e+001	1.464e+003	3.167e+001	-1.775e+001
2.493e+001	1.532e+003	2.493e+001	-1.611e+001
2.003e+001	1.588e+003	2.003e+001	-1.458e+001
1.578e+001	1.643e+003	1.578e+001	-1.297e+001
1.247e+001	1.690e+003	1.247e+001	-1.151e+001
9.973e+000	1.730e+003	9.973e+000	-1.022e+001
			
