1.0029598,0.385182
1.7976367,0.382342
2.5947541,0.390673
3.3937997,0.378416
4.1915658,0.389487
4.9860934,0.392453
5.7831682,0.386975
6.5791182,0.405291
7.3759964,0.419315
8.1704093,0.468899
8.9682455,0.5434
9.7653947,0.632065
10.5612647,0.569189
11.3563157,0.568811
12.1522736,0.553322
12.9481636,0.54643
13.7448196,0.556238
14.5398344,0.641848
15.3363374,0.703083
16.1337532,0.765933
16.9307466,0.960102
17.7259646,1.187483
18.5221922,1.548403
19.3176935,1.30378
20.1114401,1.12087
20.9072655,0.985399
21.7022233,0.893945
22.4991826,0.830374
23.2952479,0.822725
24.0924278,0.794815
24.8893765,0.789816
25.6852786,1.179139
26.4819257,1.596396
27.2782857,1.913401
28.074208,2.204214
28.8699061,2.60621
29.6659734,3.123569
30.4633875,3.927158
31.259623,4.142256
32.0569053,3.074629
32.8526136,2.619755
33.6480787,2.244709
34.4442475,1.917541
35.2413597,1.641234
36.0373483,1.441372
36.8339758,1.371162
37.6305669,1.314206
38.4260331,1.277145
39.2222227,1.232472
40.0185364,1.185905
40.8151448,1.602026
41.6105265,2.738046
42.4064564,3.674506
43.2023285,4.506739
43.9995217,4.905024
44.7964295,5.590939
45.5929288,6.253792
46.3898392,6.616595
47.1853322,7.042209
47.9811989,8.000659
48.7762822,8.500903
49.5732058,9.723946
50.3512304,10.149257
51.1479758,8.759222
51.9434385,7.511664
52.7401803,6.99202
53.5359593,6.138707
54.3323378,5.800496
55.1281981,5.152285
55.9242119,4.715929
56.7201772,4.193038
57.5171863,3.755508
58.3120174,3.271462
59.1081939,2.960125
59.9041796,2.625549
60.7011265,2.420865
61.4970737,2.261549
62.2943262,2.15819
63.0894138,2.070029
63.8853564,2.005423
64.6816618,1.943292
65.4783741,1.894239
66.2750516,1.860358
67.0714165,1.829962
67.8690442,1.748151
68.6646466,1.72086
69.4614258,1.696195
70.2573078,2.863369
71.0535962,4.841428
71.8498848,8.285298
72.6457489,9.042208
73.4252708,11.955403
74.2053189,12.781273
74.9832588,15.517428
75.7609455,15.9269
76.5402722,14.910369
77.3203405,16.513017
78.0992369,18.165705
78.8802029,17.226958
79.6592149,19.665724
80.439491,20.812943
81.2191935,20.941194
82.0004463,24.731158
82.7801997,26.178201
83.5591696,35.999036
84.3382449,41.170026
85.1171971,40.302562
85.8971967,32.271552
86.6772307,27.461284
87.4581944,24.967425
88.238109,21.411596
89.0169632,18.833039
89.7973959,16.389878
90.57704,13.110434
91.3562534,11.452888
92.1535201,9.298053
92.9491889,6.683031
93.7445828,4.649847
94.5386642,3.644046
95.3344831,3.32915
96.130832,3.016601
96.9273332,2.796189
97.7232008,2.772747
98.5182614,2.61877
99.3142634,3.061123
100.1103904,6.547812
100.8913008,17.24694
101.6724111,30.801246
102.4521888,41.399237
103.2331524,49.034652
104.0130338,59.630103
104.7921916,65.406773
105.5715268,76.063298
106.3512302,76.001558
107.1311869,87.908286
107.9101939,97.186227
108.6891652,93.87192
109.4674028,105.50681
110.246871,138.42849
110.9860512,634.52959
112.0444202,158172.11
112.8952085,139760.09
113.7448192,242729.48
114.6013303,85851.784
115.6092839,254279.29
116.5987949,45628.516
117.4333953,40074.908
118.319191,3235.1625
119.2548748,61.115576
120.0501716,7.7293
120.8460993,6.553341
121.6432509,5.452981
122.440051,4.723352
123.2365285,4.164838
124.0332518,3.775036
124.8296236,3.610229
125.6262351,3.568964
126.4231947,3.65417
127.2026429,42.587634
128.2453814,88241.69
129.2340716,46029.655
130.1211407,64917.542
131.3216476,15436688
132.4608822,17190871
133.6002002,19268322
134.7409885,21242354
135.8811166,22653354
137.0222052,25452104
138.1626769,28333478
139.303019,29485404
140.4424208,32544674
141.5832433,33395044
142.7241693,33666486
143.8631244,33214941
145.0021978,33432341
146.1533729,34228435
