XY
	ZCURVE (sheetcut_hwmg_electrodes_pair1_ex5.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair1_ex5.DTA)
1.000e+006	1.210e+003	1.000e+006	-1.119e+000
7.944e+005	1.206e+003	7.944e+005	-1.180e+000
6.310e+005	1.194e+003	6.310e+005	-1.548e+000
5.013e+005	1.198e+003	5.013e+005	-5.501e-001
3.981e+005	1.186e+003	3.981e+005	-2.405e-001
3.162e+005	1.181e+003	3.162e+005	-6.499e-001
2.512e+005	1.183e+003	2.512e+005	-5.068e-001
1.996e+005	1.176e+003	1.996e+005	-6.092e-001
1.585e+005	1.172e+003	1.585e+005	-7.431e-001
1.259e+005	1.176e+003	1.259e+005	4.921e-001
1.000e+005	1.180e+003	1.000e+005	-3.887e-001
7.951e+004	1.180e+003	7.951e+004	-4.665e-001
6.311e+004	1.181e+003	6.311e+004	-6.032e-001
5.021e+004	1.180e+003	5.021e+004	-7.693e-001
3.990e+004	1.183e+003	3.990e+004	-9.598e-001
3.170e+004	1.184e+003	3.170e+004	-1.123e+000
2.514e+004	1.187e+003	2.514e+004	-1.319e+000
1.998e+004	1.190e+003	1.998e+004	-1.532e+000
1.588e+004	1.193e+003	1.588e+004	-1.784e+000
1.260e+004	1.196e+003	1.260e+004	-2.112e+000
1.002e+004	1.204e+003	1.002e+004	-2.401e+000
7.928e+003	1.210e+003	7.928e+003	-2.760e+000
6.308e+003	1.216e+003	6.308e+003	-3.170e+000
5.035e+003	1.225e+003	5.035e+003	-3.536e+000
3.993e+003	1.235e+003	3.993e+003	-4.005e+000
3.144e+003	1.248e+003	3.144e+003	-4.526e+000
2.520e+003	1.260e+003	2.520e+003	-5.049e+000
2.001e+003	1.275e+003	2.001e+003	-5.632e+000
1.581e+003	1.294e+003	1.581e+003	-6.249e+000
1.254e+003	1.315e+003	1.254e+003	-6.895e+000
1.001e+003	1.339e+003	1.001e+003	-7.526e+000
7.900e+002	1.367e+003	7.900e+002	-8.195e+000
6.288e+002	1.397e+003	6.288e+002	-8.841e+000
5.022e+002	1.430e+003	5.022e+002	-9.471e+000
4.002e+002	1.468e+003	4.002e+002	-1.010e+001
3.155e+002	1.511e+003	3.155e+002	-1.072e+001
2.520e+002	1.557e+003	2.520e+002	-1.129e+001
2.003e+002	1.607e+003	2.003e+002	-1.180e+001
1.580e+002	1.664e+003	1.580e+002	-1.230e+001
1.256e+002	1.725e+003	1.256e+002	-1.267e+001
9.973e+001	1.792e+003	9.973e+001	-1.295e+001
7.945e+001	1.864e+003	7.945e+001	-1.309e+001
6.292e+001	1.943e+003	6.292e+001	-1.314e+001
4.987e+001	2.015e+003	4.987e+001	-1.264e+001
4.006e+001	2.084e+003	4.006e+001	-1.234e+001
3.167e+001	2.163e+003	3.167e+001	-1.181e+001
2.493e+001	2.237e+003	2.493e+001	-1.116e+001
2.003e+001	2.302e+003	2.003e+001	-1.048e+001
1.578e+001	2.368e+003	1.578e+001	-9.691e+000
1.247e+001	2.426e+003	1.247e+001	-8.900e+000
9.973e+000	2.475e+003	9.973e+000	-8.152e+000
			
