XY
	ZCURVE (sheetcut_hwmg_electrodes_pair1_ex3.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair1_ex3.DTA)
1.000e+006	1.270e+003	1.000e+006	-2.320e+000
7.944e+005	1.233e+003	7.944e+005	-1.542e+000
6.310e+005	1.239e+003	6.310e+005	-1.028e+000
5.013e+005	1.229e+003	5.013e+005	-8.356e-001
3.981e+005	1.217e+003	3.981e+005	-4.883e-001
3.162e+005	1.210e+003	3.162e+005	-1.682e-001
2.512e+005	1.216e+003	2.512e+005	-3.416e-001
1.996e+005	1.200e+003	1.996e+005	1.093e-001
1.585e+005	1.212e+003	1.585e+005	8.163e-003
1.259e+005	1.196e+003	1.259e+005	-4.015e-001
1.000e+005	1.213e+003	1.000e+005	-4.499e-001
7.951e+004	1.213e+003	7.951e+004	-5.654e-001
6.311e+004	1.214e+003	6.311e+004	-6.890e-001
5.021e+004	1.214e+003	5.021e+004	-8.275e-001
3.990e+004	1.217e+003	3.990e+004	-1.007e+000
3.170e+004	1.218e+003	3.170e+004	-1.170e+000
2.514e+004	1.223e+003	2.514e+004	-1.388e+000
1.998e+004	1.224e+003	1.998e+004	-1.587e+000
1.588e+004	1.230e+003	1.588e+004	-1.822e+000
1.260e+004	1.234e+003	1.260e+004	-2.178e+000
1.002e+004	1.241e+003	1.002e+004	-2.484e+000
7.928e+003	1.247e+003	7.928e+003	-2.816e+000
6.308e+003	1.255e+003	6.308e+003	-3.157e+000
5.035e+003	1.263e+003	5.035e+003	-3.577e+000
3.993e+003	1.274e+003	3.993e+003	-4.029e+000
3.144e+003	1.287e+003	3.144e+003	-4.534e+000
2.520e+003	1.301e+003	2.520e+003	-5.044e+000
2.001e+003	1.317e+003	2.001e+003	-5.597e+000
1.581e+003	1.336e+003	1.581e+003	-6.201e+000
1.254e+003	1.358e+003	1.254e+003	-6.807e+000
1.001e+003	1.382e+003	1.001e+003	-7.416e+000
7.900e+002	1.410e+003	7.900e+002	-8.056e+000
6.288e+002	1.441e+003	6.288e+002	-8.679e+000
5.022e+002	1.474e+003	5.022e+002	-9.293e+000
4.002e+002	1.511e+003	4.002e+002	-9.888e+000
3.155e+002	1.554e+003	3.155e+002	-1.050e+001
2.520e+002	1.598e+003	2.520e+002	-1.104e+001
2.003e+002	1.648e+003	2.003e+002	-1.155e+001
1.580e+002	1.706e+003	1.580e+002	-1.203e+001
1.256e+002	1.767e+003	1.256e+002	-1.243e+001
9.973e+001	1.832e+003	9.973e+001	-1.267e+001
7.945e+001	1.906e+003	7.945e+001	-1.287e+001
6.292e+001	1.987e+003	6.292e+001	-1.283e+001
4.987e+001	2.055e+003	4.987e+001	-1.247e+001
4.006e+001	2.128e+003	4.006e+001	-1.228e+001
3.167e+001	2.208e+003	3.167e+001	-1.177e+001
2.493e+001	2.285e+003	2.493e+001	-1.115e+001
2.003e+001	2.350e+003	2.003e+001	-1.048e+001
1.578e+001	2.417e+003	1.578e+001	-9.721e+000
1.247e+001	2.477e+003	1.247e+001	-8.931e+000
9.973e+000	2.527e+003	9.973e+000	-8.223e+000
			
