XY
	ZCURVE (sheetcut_hwmg_electrodes_pair1_ex6.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair1_ex6.DTA)
1.000e+006	1.204e+003	1.000e+006	-2.259e+000
7.944e+005	1.203e+003	7.944e+005	-1.044e+000
6.310e+005	1.204e+003	6.310e+005	-8.251e-001
5.013e+005	1.176e+003	5.013e+005	-8.694e-001
3.981e+005	1.187e+003	3.981e+005	-7.383e-001
3.162e+005	1.188e+003	3.162e+005	-6.252e-002
2.512e+005	1.192e+003	2.512e+005	-5.458e-001
1.996e+005	1.186e+003	1.996e+005	-8.229e-002
1.585e+005	1.191e+003	1.585e+005	-3.023e-001
1.259e+005	1.179e+003	1.259e+005	-1.276e+000
1.000e+005	1.181e+003	1.000e+005	-3.890e-001
7.951e+004	1.181e+003	7.951e+004	-4.131e-001
6.311e+004	1.180e+003	6.311e+004	-6.177e-001
5.021e+004	1.181e+003	5.021e+004	-7.479e-001
3.990e+004	1.183e+003	3.990e+004	-8.648e-001
3.170e+004	1.184e+003	3.170e+004	-1.107e+000
2.514e+004	1.187e+003	2.514e+004	-1.280e+000
1.998e+004	1.190e+003	1.998e+004	-1.561e+000
1.588e+004	1.194e+003	1.588e+004	-1.791e+000
1.260e+004	1.199e+003	1.260e+004	-2.013e+000
1.002e+004	1.204e+003	1.002e+004	-2.339e+000
7.928e+003	1.211e+003	7.928e+003	-2.654e+000
6.308e+003	1.217e+003	6.308e+003	-3.069e+000
5.035e+003	1.225e+003	5.035e+003	-3.499e+000
3.993e+003	1.236e+003	3.993e+003	-3.956e+000
3.144e+003	1.247e+003	3.144e+003	-4.489e+000
2.520e+003	1.261e+003	2.520e+003	-5.010e+000
2.001e+003	1.276e+003	2.001e+003	-5.582e+000
1.581e+003	1.295e+003	1.581e+003	-6.208e+000
1.254e+003	1.316e+003	1.254e+003	-6.851e+000
1.001e+003	1.339e+003	1.001e+003	-7.491e+000
7.900e+002	1.367e+003	7.900e+002	-8.166e+000
6.288e+002	1.398e+003	6.288e+002	-8.814e+000
5.022e+002	1.430e+003	5.022e+002	-9.464e+000
4.002e+002	1.468e+003	4.002e+002	-1.010e+001
3.155e+002	1.510e+003	3.155e+002	-1.073e+001
2.520e+002	1.556e+003	2.520e+002	-1.128e+001
2.003e+002	1.607e+003	2.003e+002	-1.185e+001
1.580e+002	1.664e+003	1.580e+002	-1.231e+001
1.256e+002	1.725e+003	1.256e+002	-1.268e+001
9.973e+001	1.792e+003	9.973e+001	-1.294e+001
7.945e+001	1.861e+003	7.945e+001	-1.311e+001
6.292e+001	1.930e+003	6.292e+001	-1.312e+001
4.987e+001	2.017e+003	4.987e+001	-1.285e+001
4.006e+001	2.089e+003	4.006e+001	-1.231e+001
3.167e+001	2.165e+003	3.167e+001	-1.176e+001
2.493e+001	2.240e+003	2.493e+001	-1.110e+001
2.003e+001	2.302e+003	2.003e+001	-1.042e+001
1.578e+001	2.366e+003	1.578e+001	-9.624e+000
1.247e+001	2.425e+003	1.247e+001	-8.828e+000
9.973e+000	2.474e+003	9.973e+000	-8.088e+000
			
