XY
	ZCURVE (sheetcut_hwmg_electrodes_pair1_ex8.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair1_ex8.DTA)
1.000e+006	1.203e+003	1.000e+006	-1.377e+000
7.944e+005	1.178e+003	7.944e+005	-1.674e+000
6.310e+005	1.162e+003	6.310e+005	-1.661e+000
5.013e+005	1.157e+003	5.013e+005	-1.044e-001
3.981e+005	1.176e+003	3.981e+005	-1.481e-001
3.162e+005	1.163e+003	3.162e+005	-1.821e-001
2.512e+005	1.165e+003	2.512e+005	-5.202e-001
1.996e+005	1.151e+003	1.996e+005	-9.639e-001
1.585e+005	1.160e+003	1.585e+005	7.099e-001
1.259e+005	1.166e+003	1.259e+005	-6.576e-001
1.000e+005	1.153e+003	1.000e+005	-3.615e-001
7.951e+004	1.154e+003	7.951e+004	-3.891e-001
6.311e+004	1.154e+003	6.311e+004	-6.015e-001
5.021e+004	1.154e+003	5.021e+004	-7.866e-001
3.990e+004	1.156e+003	3.990e+004	-9.060e-001
3.170e+004	1.157e+003	3.170e+004	-1.099e+000
2.514e+004	1.159e+003	2.514e+004	-1.272e+000
1.998e+004	1.162e+003	1.998e+004	-1.506e+000
1.588e+004	1.166e+003	1.588e+004	-1.743e+000
1.260e+004	1.170e+003	1.260e+004	-2.079e+000
1.002e+004	1.176e+003	1.002e+004	-2.343e+000
7.928e+003	1.181e+003	7.928e+003	-2.711e+000
6.308e+003	1.189e+003	6.308e+003	-3.096e+000
5.035e+003	1.197e+003	5.035e+003	-3.527e+000
3.993e+003	1.206e+003	3.993e+003	-4.000e+000
3.144e+003	1.218e+003	3.144e+003	-4.538e+000
2.520e+003	1.231e+003	2.520e+003	-5.069e+000
2.001e+003	1.247e+003	2.001e+003	-5.666e+000
1.581e+003	1.265e+003	1.581e+003	-6.307e+000
1.254e+003	1.285e+003	1.254e+003	-6.970e+000
1.001e+003	1.307e+003	1.001e+003	-7.635e+000
7.900e+002	1.334e+003	7.900e+002	-8.337e+000
6.288e+002	1.364e+003	6.288e+002	-9.005e+000
5.022e+002	1.398e+003	5.022e+002	-9.665e+000
4.002e+002	1.434e+003	4.002e+002	-1.031e+001
3.155e+002	1.478e+003	3.155e+002	-1.096e+001
2.520e+002	1.523e+003	2.520e+002	-1.154e+001
2.003e+002	1.573e+003	2.003e+002	-1.209e+001
1.580e+002	1.632e+003	1.580e+002	-1.256e+001
1.256e+002	1.694e+003	1.256e+002	-1.294e+001
9.973e+001	1.759e+003	9.973e+001	-1.320e+001
7.945e+001	1.834e+003	7.945e+001	-1.325e+001
6.292e+001	1.907e+003	6.292e+001	-1.296e+001
4.987e+001	1.981e+003	4.987e+001	-1.298e+001
4.006e+001	2.055e+003	4.006e+001	-1.258e+001
3.167e+001	2.131e+003	3.167e+001	-1.196e+001
2.493e+001	2.206e+003	2.493e+001	-1.120e+001
2.003e+001	2.268e+003	2.003e+001	-1.050e+001
1.578e+001	2.331e+003	1.578e+001	-9.685e+000
1.247e+001	2.387e+003	1.247e+001	-8.868e+000
9.973e+000	2.437e+003	9.973e+000	-8.088e+000
			
