XY
	ZCURVE (sheetcut_hwmg_electrodes_pair1_ex10.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair1_ex10.DTA)
1.000e+006	1.198e+003	1.000e+006	-2.245e+000
7.944e+005	1.181e+003	7.944e+005	-1.443e+000
6.310e+005	1.177e+003	6.310e+005	-1.137e+000
5.013e+005	1.171e+003	5.013e+005	-8.584e-001
3.981e+005	1.164e+003	3.981e+005	-9.359e-001
3.162e+005	1.149e+003	3.162e+005	-7.806e-001
2.512e+005	1.148e+003	2.512e+005	-3.545e-001
1.996e+005	1.147e+003	1.996e+005	-5.793e-003
1.585e+005	1.148e+003	1.585e+005	-7.082e-001
1.259e+005	1.160e+003	1.259e+005	-4.952e-001
1.000e+005	1.152e+003	1.000e+005	-3.367e-001
7.951e+004	1.152e+003	7.951e+004	-4.014e-001
6.311e+004	1.152e+003	6.311e+004	-5.613e-001
5.021e+004	1.150e+003	5.021e+004	-7.287e-001
3.990e+004	1.153e+003	3.990e+004	-8.668e-001
3.170e+004	1.154e+003	3.170e+004	-1.023e+000
2.514e+004	1.155e+003	2.514e+004	-1.247e+000
1.998e+004	1.158e+003	1.998e+004	-1.437e+000
1.588e+004	1.161e+003	1.588e+004	-1.730e+000
1.260e+004	1.165e+003	1.260e+004	-2.005e+000
1.002e+004	1.171e+003	1.002e+004	-2.295e+000
7.928e+003	1.178e+003	7.928e+003	-2.698e+000
6.308e+003	1.185e+003	6.308e+003	-3.052e+000
5.035e+003	1.193e+003	5.035e+003	-3.485e+000
3.993e+003	1.203e+003	3.993e+003	-3.967e+000
3.144e+003	1.214e+003	3.144e+003	-4.507e+000
2.520e+003	1.227e+003	2.520e+003	-5.046e+000
2.001e+003	1.242e+003	2.001e+003	-5.651e+000
1.581e+003	1.261e+003	1.581e+003	-6.289e+000
1.254e+003	1.282e+003	1.254e+003	-6.956e+000
1.001e+003	1.304e+003	1.001e+003	-7.623e+000
7.900e+002	1.331e+003	7.900e+002	-8.328e+000
6.288e+002	1.362e+003	6.288e+002	-8.998e+000
5.022e+002	1.396e+003	5.022e+002	-9.658e+000
4.002e+002	1.433e+003	4.002e+002	-1.032e+001
3.155e+002	1.475e+003	3.155e+002	-1.098e+001
2.520e+002	1.521e+003	2.520e+002	-1.157e+001
2.003e+002	1.573e+003	2.003e+002	-1.208e+001
1.580e+002	1.631e+003	1.580e+002	-1.259e+001
1.256e+002	1.695e+003	1.256e+002	-1.295e+001
9.973e+001	1.761e+003	9.973e+001	-1.321e+001
7.945e+001	1.835e+003	7.945e+001	-1.326e+001
6.292e+001	1.915e+003	6.292e+001	-1.299e+001
4.987e+001	1.982e+003	4.987e+001	-1.298e+001
4.006e+001	2.057e+003	4.006e+001	-1.253e+001
3.167e+001	2.132e+003	3.167e+001	-1.192e+001
2.493e+001	2.206e+003	2.493e+001	-1.117e+001
2.003e+001	2.269e+003	2.003e+001	-1.043e+001
1.578e+001	2.331e+003	1.578e+001	-9.584e+000
1.247e+001	2.386e+003	1.247e+001	-8.781e+000
9.973e+000	2.436e+003	9.973e+000	-8.006e+000
			
