XY
	ZCURVE (sheetcut_hwmg_electrodes_pair1_ex9.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair1_ex9.DTA)
1.000e+006	1.163e+003	1.000e+006	-1.559e+000
7.944e+005	1.172e+003	7.944e+005	-1.301e+000
6.310e+005	1.161e+003	6.310e+005	-8.204e-001
5.013e+005	1.154e+003	5.013e+005	-1.176e+000
3.981e+005	1.158e+003	3.981e+005	-4.749e-001
3.162e+005	1.141e+003	3.162e+005	-8.630e-001
2.512e+005	1.142e+003	2.512e+005	-1.771e-001
1.996e+005	1.154e+003	1.996e+005	2.679e-001
1.585e+005	1.131e+003	1.585e+005	2.616e-001
1.259e+005	1.124e+003	1.259e+005	-8.627e-001
1.000e+005	1.143e+003	1.000e+005	-3.814e-001
7.951e+004	1.143e+003	7.951e+004	-4.748e-001
6.311e+004	1.143e+003	6.311e+004	-6.243e-001
5.021e+004	1.144e+003	5.021e+004	-7.184e-001
3.990e+004	1.144e+003	3.990e+004	-8.870e-001
3.170e+004	1.147e+003	3.170e+004	-1.090e+000
2.514e+004	1.151e+003	2.514e+004	-1.285e+000
1.998e+004	1.154e+003	1.998e+004	-1.491e+000
1.588e+004	1.156e+003	1.588e+004	-1.759e+000
1.260e+004	1.160e+003	1.260e+004	-2.065e+000
1.002e+004	1.165e+003	1.002e+004	-2.381e+000
7.928e+003	1.169e+003	7.928e+003	-2.734e+000
6.308e+003	1.177e+003	6.308e+003	-3.114e+000
5.035e+003	1.185e+003	5.035e+003	-3.537e+000
3.993e+003	1.194e+003	3.993e+003	-4.026e+000
3.144e+003	1.205e+003	3.144e+003	-4.569e+000
2.520e+003	1.219e+003	2.520e+003	-5.106e+000
2.001e+003	1.234e+003	2.001e+003	-5.710e+000
1.581e+003	1.253e+003	1.581e+003	-6.358e+000
1.254e+003	1.273e+003	1.254e+003	-7.027e+000
1.001e+003	1.295e+003	1.001e+003	-7.695e+000
7.900e+002	1.323e+003	7.900e+002	-8.401e+000
6.288e+002	1.352e+003	6.288e+002	-9.087e+000
5.022e+002	1.385e+003	5.022e+002	-9.753e+000
4.002e+002	1.424e+003	4.002e+002	-1.039e+001
3.155e+002	1.468e+003	3.155e+002	-1.105e+001
2.520e+002	1.513e+003	2.520e+002	-1.163e+001
2.003e+002	1.564e+003	2.003e+002	-1.219e+001
1.580e+002	1.622e+003	1.580e+002	-1.265e+001
1.256e+002	1.684e+003	1.256e+002	-1.304e+001
9.973e+001	1.749e+003	9.973e+001	-1.329e+001
7.945e+001	1.824e+003	7.945e+001	-1.336e+001
6.292e+001	1.901e+003	6.292e+001	-1.309e+001
4.987e+001	1.971e+003	4.987e+001	-1.309e+001
4.006e+001	2.048e+003	4.006e+001	-1.261e+001
3.167e+001	2.125e+003	3.167e+001	-1.196e+001
2.493e+001	2.199e+003	2.493e+001	-1.121e+001
2.003e+001	2.262e+003	2.003e+001	-1.051e+001
1.578e+001	2.324e+003	1.578e+001	-9.687e+000
1.247e+001	2.381e+003	1.247e+001	-8.866e+000
9.973e+000	2.430e+003	9.973e+000	-8.087e+000
			
