XY
	ZCURVE (sheetcut_hwmg_electrodes_pair1_ex2.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair1_ex2.DTA)
1.000e+006	1.288e+003	1.000e+006	-1.832e+000
7.944e+005	1.272e+003	7.944e+005	-1.700e+000
6.310e+005	1.254e+003	6.310e+005	-1.096e+000
5.013e+005	1.250e+003	5.013e+005	-1.113e+000
3.981e+005	1.250e+003	3.981e+005	-4.444e-001
3.162e+005	1.249e+003	3.162e+005	-5.863e-001
2.512e+005	1.242e+003	2.512e+005	-3.772e-001
1.996e+005	1.243e+003	1.996e+005	-8.243e-001
1.585e+005	1.244e+003	1.585e+005	-3.985e-001
1.259e+005	1.242e+003	1.259e+005	-1.997e-001
1.000e+005	1.239e+003	1.000e+005	-4.388e-001
7.951e+004	1.239e+003	7.951e+004	-4.925e-001
6.311e+004	1.239e+003	6.311e+004	-7.192e-001
5.021e+004	1.241e+003	5.021e+004	-8.558e-001
3.990e+004	1.244e+003	3.990e+004	-1.000e+000
3.170e+004	1.245e+003	3.170e+004	-1.193e+000
2.514e+004	1.247e+003	2.514e+004	-1.422e+000
1.998e+004	1.252e+003	1.998e+004	-1.627e+000
1.588e+004	1.255e+003	1.588e+004	-1.893e+000
1.260e+004	1.260e+003	1.260e+004	-2.153e+000
1.002e+004	1.267e+003	1.002e+004	-2.491e+000
7.928e+003	1.275e+003	7.928e+003	-2.850e+000
6.308e+003	1.282e+003	6.308e+003	-3.111e+000
5.035e+003	1.291e+003	5.035e+003	-3.559e+000
3.993e+003	1.302e+003	3.993e+003	-4.009e+000
3.144e+003	1.315e+003	3.144e+003	-4.502e+000
2.520e+003	1.329e+003	2.520e+003	-4.997e+000
2.001e+003	1.345e+003	2.001e+003	-5.539e+000
1.581e+003	1.364e+003	1.581e+003	-6.122e+000
1.254e+003	1.386e+003	1.254e+003	-6.711e+000
1.001e+003	1.410e+003	1.001e+003	-7.308e+000
7.900e+002	1.438e+003	7.900e+002	-7.930e+000
6.288e+002	1.469e+003	6.288e+002	-8.540e+000
5.022e+002	1.502e+003	5.022e+002	-9.126e+000
4.002e+002	1.539e+003	4.002e+002	-9.726e+000
3.155e+002	1.582e+003	3.155e+002	-1.032e+001
2.520e+002	1.626e+003	2.520e+002	-1.086e+001
2.003e+002	1.676e+003	2.003e+002	-1.138e+001
1.580e+002	1.733e+003	1.580e+002	-1.183e+001
1.256e+002	1.794e+003	1.256e+002	-1.225e+001
9.973e+001	1.859e+003	9.973e+001	-1.254e+001
7.945e+001	1.931e+003	7.945e+001	-1.261e+001
6.292e+001	2.010e+003	6.292e+001	-1.246e+001
4.987e+001	2.081e+003	4.987e+001	-1.243e+001
4.006e+001	2.157e+003	4.006e+001	-1.224e+001
3.167e+001	2.236e+003	3.167e+001	-1.174e+001
2.493e+001	2.314e+003	2.493e+001	-1.111e+001
2.003e+001	2.380e+003	2.003e+001	-1.044e+001
1.578e+001	2.448e+003	1.578e+001	-9.670e+000
1.247e+001	2.509e+003	1.247e+001	-8.914e+000
9.973e+000	2.561e+003	9.973e+000	-8.226e+000
			
