XY
	ZCURVE (sheetcut_hwmg_electrodes_pair1_ex4.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair1_ex4.DTA)
1.000e+006	1.238e+003	1.000e+006	-2.440e+000
7.944e+005	1.224e+003	7.944e+005	-1.855e+000
6.310e+005	1.209e+003	6.310e+005	-1.402e+000
5.013e+005	1.208e+003	5.013e+005	-2.508e-001
3.981e+005	1.219e+003	3.981e+005	-7.469e-001
3.162e+005	1.195e+003	3.162e+005	8.458e-002
2.512e+005	1.194e+003	2.512e+005	-3.527e-001
1.996e+005	1.189e+003	1.996e+005	-3.931e-001
1.585e+005	1.193e+003	1.585e+005	-2.949e-001
1.259e+005	1.202e+003	1.259e+005	8.485e-001
1.000e+005	1.191e+003	1.000e+005	-4.417e-001
7.951e+004	1.193e+003	7.951e+004	-5.377e-001
6.311e+004	1.193e+003	6.311e+004	-6.708e-001
5.021e+004	1.195e+003	5.021e+004	-8.018e-001
3.990e+004	1.195e+003	3.990e+004	-9.519e-001
3.170e+004	1.198e+003	3.170e+004	-1.130e+000
2.514e+004	1.201e+003	2.514e+004	-1.343e+000
1.998e+004	1.203e+003	1.998e+004	-1.564e+000
1.588e+004	1.208e+003	1.588e+004	-1.805e+000
1.260e+004	1.212e+003	1.260e+004	-2.158e+000
1.002e+004	1.218e+003	1.002e+004	-2.398e+000
7.928e+003	1.224e+003	7.928e+003	-2.775e+000
6.308e+003	1.232e+003	6.308e+003	-3.130e+000
5.035e+003	1.240e+003	5.035e+003	-3.557e+000
3.993e+003	1.250e+003	3.993e+003	-4.017e+000
3.144e+003	1.262e+003	3.144e+003	-4.543e+000
2.520e+003	1.276e+003	2.520e+003	-5.050e+000
2.001e+003	1.292e+003	2.001e+003	-5.621e+000
1.581e+003	1.311e+003	1.581e+003	-6.239e+000
1.254e+003	1.332e+003	1.254e+003	-6.870e+000
1.001e+003	1.356e+003	1.001e+003	-7.488e+000
7.900e+002	1.384e+003	7.900e+002	-8.162e+000
6.288e+002	1.415e+003	6.288e+002	-8.784e+000
5.022e+002	1.447e+003	5.022e+002	-9.410e+000
4.002e+002	1.484e+003	4.002e+002	-1.003e+001
3.155e+002	1.528e+003	3.155e+002	-1.065e+001
2.520e+002	1.573e+003	2.520e+002	-1.121e+001
2.003e+002	1.623e+003	2.003e+002	-1.172e+001
1.580e+002	1.681e+003	1.580e+002	-1.219e+001
1.256e+002	1.742e+003	1.256e+002	-1.259e+001
9.973e+001	1.807e+003	9.973e+001	-1.285e+001
7.945e+001	1.880e+003	7.945e+001	-1.291e+001
6.292e+001	1.958e+003	6.292e+001	-1.269e+001
4.987e+001	2.028e+003	4.987e+001	-1.265e+001
4.006e+001	2.104e+003	4.006e+001	-1.241e+001
3.167e+001	2.182e+003	3.167e+001	-1.183e+001
2.493e+001	2.259e+003	2.493e+001	-1.116e+001
2.003e+001	2.325e+003	2.003e+001	-1.046e+001
1.578e+001	2.390e+003	1.578e+001	-9.660e+000
1.247e+001	2.448e+003	1.247e+001	-8.883e+000
9.973e+000	2.498e+003	9.973e+000	-8.180e+000
			
