XY
	ZCURVE (sheetcut_hwmg_electrodes_pair1_ex7.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair1_ex7.DTA)
1.000e+006	1.191e+003	1.000e+006	-2.005e+000
7.944e+005	1.204e+003	7.944e+005	-1.702e+000
6.310e+005	1.186e+003	6.310e+005	-1.543e+000
5.013e+005	1.184e+003	5.013e+005	5.803e-002
3.981e+005	1.181e+003	3.981e+005	-7.077e-001
3.162e+005	1.175e+003	3.162e+005	1.965e-001
2.512e+005	1.176e+003	2.512e+005	-6.353e-001
1.996e+005	1.173e+003	1.996e+005	-1.475e-001
1.585e+005	1.152e+003	1.585e+005	-2.775e-001
1.259e+005	1.162e+003	1.259e+005	-9.318e-001
1.000e+005	1.169e+003	1.000e+005	-3.924e-001
7.951e+004	1.169e+003	7.951e+004	-4.312e-001
6.311e+004	1.170e+003	6.311e+004	-5.984e-001
5.021e+004	1.170e+003	5.021e+004	-7.268e-001
3.990e+004	1.173e+003	3.990e+004	-9.000e-001
3.170e+004	1.173e+003	3.170e+004	-1.064e+000
2.514e+004	1.177e+003	2.514e+004	-1.264e+000
1.998e+004	1.179e+003	1.998e+004	-1.470e+000
1.588e+004	1.182e+003	1.588e+004	-1.747e+000
1.260e+004	1.187e+003	1.260e+004	-2.029e+000
1.002e+004	1.190e+003	1.002e+004	-2.353e+000
7.928e+003	1.197e+003	7.928e+003	-2.695e+000
6.308e+003	1.204e+003	6.308e+003	-3.065e+000
5.035e+003	1.213e+003	5.035e+003	-3.501e+000
3.993e+003	1.223e+003	3.993e+003	-3.973e+000
3.144e+003	1.234e+003	3.144e+003	-4.508e+000
2.520e+003	1.247e+003	2.520e+003	-5.035e+000
2.001e+003	1.263e+003	2.001e+003	-5.626e+000
1.581e+003	1.280e+003	1.581e+003	-6.264e+000
1.254e+003	1.302e+003	1.254e+003	-6.905e+000
1.001e+003	1.325e+003	1.001e+003	-7.554e+000
7.900e+002	1.354e+003	7.900e+002	-8.236e+000
6.288e+002	1.384e+003	6.288e+002	-8.890e+000
5.022e+002	1.416e+003	5.022e+002	-9.543e+000
4.002e+002	1.453e+003	4.002e+002	-1.019e+001
3.155e+002	1.496e+003	3.155e+002	-1.084e+001
2.520e+002	1.541e+003	2.520e+002	-1.141e+001
2.003e+002	1.592e+003	2.003e+002	-1.196e+001
1.580e+002	1.651e+003	1.580e+002	-1.244e+001
1.256e+002	1.712e+003	1.256e+002	-1.281e+001
9.973e+001	1.777e+003	9.973e+001	-1.305e+001
7.945e+001	1.849e+003	7.945e+001	-1.308e+001
6.292e+001	1.921e+003	6.292e+001	-1.285e+001
4.987e+001	1.998e+003	4.987e+001	-1.294e+001
4.006e+001	2.074e+003	4.006e+001	-1.245e+001
3.167e+001	2.148e+003	3.167e+001	-1.188e+001
2.493e+001	2.223e+003	2.493e+001	-1.118e+001
2.003e+001	2.287e+003	2.003e+001	-1.044e+001
1.578e+001	2.353e+003	1.578e+001	-9.606e+000
1.247e+001	2.409e+003	1.247e+001	-8.830e+000
9.973e+000	2.459e+003	9.973e+000	-8.078e+000
			
