Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0.0314,0.05962,16.5,2.82,0.29,0.8178,0,0.07290291025
0.1,0.25417,2.40756,,,,,0.01350121212,2.943947175
0.2,0.55911,3.04782,,,,,0.03198242424,3.726852531
0.3,0.85895,4.27936,,,,,0.05015454545,5.232770849
0.4,1.15906,5.04117,,,,,0.0683430303,6.164306676
0.5,1.45914,5.51088,,,,,0.08652969697,6.73866471
0.6,1.75908,5.77173,,,,,0.1047078788,7.057630227
0.7,2.05911,5.91792,,,,,0.1228915152,7.236390315
0.8,2.35911,5.97122,,,,,0.1410733333,7.301565175
0.87,2.56914,2.59876,,,,,0.1538024242,3.17774517
0.873,2.57815,-0.15821,,,,,0.1543484848,-0.1934580582
0.973,2.87816,-0.02283,,,,,0.1725309091,-0.02791636097
1.073,3.17819,-0.01221,,,,,0.1907145455,-0.01493030081
1.173,3.47813,-0.01314,,,,,0.2088927273,-0.01606749817
1.273,3.77816,-0.02247,,,,,0.2270763636,-0.02747615554
1.344,3.99111,-0.00837,,,,,0.2399824242,-0.01023477623
