Created as New Dataset,Sample 002 By FTIR User 2.0 Date Friday, March 01 2024
cm-1,%T
3650.00,88.80
3649.00,88.66
3648.00,88.54
3647.00,88.44
3646.00,88.34
3645.00,88.25
3644.00,88.17
3643.00,88.09
3642.00,88.02
3641.00,87.95
3640.00,87.87
3639.00,87.78
3638.00,87.68
3637.00,87.57
3636.00,87.46
3635.00,87.35
3634.00,87.25
3633.00,87.15
3632.00,87.05
3631.00,86.93
3630.00,86.78
3629.00,86.62
3628.00,86.51
3627.00,86.41
3626.00,86.34
3625.00,86.26
3624.00,86.18
3623.00,86.09
3622.00,86.01
3621.00,85.91
3620.00,85.82
3619.00,85.72
3618.00,85.62
3617.00,85.51
3616.00,85.39
3615.00,85.28
3614.00,85.18
3613.00,85.10
3612.00,85.01
3611.00,84.91
3610.00,84.80
3609.00,84.69
3608.00,84.60
3607.00,84.53
3606.00,84.46
3605.00,84.37
3604.00,84.28
3603.00,84.18
3602.00,84.08
3601.00,83.99
3600.00,83.89
3599.00,83.79
3598.00,83.69
3597.00,83.59
3596.00,83.49
3595.00,83.39
3594.00,83.29
3593.00,83.18
3592.00,83.08
3591.00,82.98
3590.00,82.86
3589.00,82.73
3588.00,82.60
3587.00,82.49
3586.00,82.38
3585.00,82.28
3584.00,82.18
3583.00,82.09
3582.00,82.00
3581.00,81.92
3580.00,81.83
3579.00,81.75
3578.00,81.65
3577.00,81.55
3576.00,81.44
3575.00,81.33
3574.00,81.21
3573.00,81.10
3572.00,80.98
3571.00,80.86
3570.00,80.73
3569.00,80.59
3568.00,80.45
3567.00,80.32
3566.00,80.20
3565.00,80.09
3564.00,79.96
3563.00,79.84
3562.00,79.72
3561.00,79.62
3560.00,79.53
3559.00,79.44
3558.00,79.34
3557.00,79.24
3556.00,79.12
3555.00,79.00
3554.00,78.87
3553.00,78.73
3552.00,78.60
3551.00,78.48
3550.00,78.35
3549.00,78.22
3548.00,78.06
3547.00,77.90
3546.00,77.74
3545.00,77.61
3544.00,77.51
3543.00,77.42
3542.00,77.34
3541.00,77.25
3540.00,77.15
3539.00,77.03
3538.00,76.89
3537.00,76.76
3536.00,76.63
3535.00,76.52
3534.00,76.41
3533.00,76.31
3532.00,76.19
3531.00,76.06
3530.00,75.93
3529.00,75.79
3528.00,75.65
3527.00,75.50
3526.00,75.34
3525.00,75.19
3524.00,75.06
3523.00,74.95
3522.00,74.86
3521.00,74.78
3520.00,74.68
3519.00,74.56
3518.00,74.43
3517.00,74.30
3516.00,74.17
3515.00,74.03
3514.00,73.90
3513.00,73.78
3512.00,73.66
3511.00,73.55
3510.00,73.43
3509.00,73.31
3508.00,73.19
3507.00,73.06
3506.00,72.91
3505.00,72.75
3504.00,72.59
3503.00,72.44
3502.00,72.31
3501.00,72.21
3500.00,72.10
3499.00,71.98
3498.00,71.85
3497.00,71.73
3496.00,71.61
3495.00,71.50
3494.00,71.39
3493.00,71.28
3492.00,71.17
3491.00,71.05
3490.00,70.92
3489.00,70.78
3488.00,70.64
3487.00,70.51
3486.00,70.39
3485.00,70.29
3484.00,70.17
3483.00,70.04
3482.00,69.89
3481.00,69.75
3480.00,69.61
3479.00,69.51
3478.00,69.41
3477.00,69.31
3476.00,69.20
3475.00,69.09
3474.00,68.97
3473.00,68.83
3472.00,68.69
3471.00,68.52
3470.00,68.35
3469.00,68.19
3468.00,68.06
3467.00,67.95
3466.00,67.86
3465.00,67.78
3464.00,67.68
3463.00,67.57
3462.00,67.43
3461.00,67.30
3460.00,67.17
3459.00,67.06
3458.00,66.97
3457.00,66.87
3456.00,66.76
3455.00,66.64
3454.00,66.52
3453.00,66.40
3452.00,66.28
3451.00,66.16
3450.00,66.03
3449.00,65.89
3448.00,65.75
3447.00,65.62
3446.00,65.50
3445.00,65.39
3444.00,65.28
3443.00,65.17
3442.00,65.04
3441.00,64.91
3440.00,64.77
3439.00,64.61
3438.00,64.45
3437.00,64.29
3436.00,64.16
3435.00,64.05
3434.00,63.95
3433.00,63.86
3432.00,63.75
3431.00,63.64
3430.00,63.52
3429.00,63.42
3428.00,63.33
3427.00,63.24
3426.00,63.15
3425.00,63.05
3424.00,62.94
3423.00,62.82
3422.00,62.70
3421.00,62.58
3420.00,62.48
3419.00,62.38
3418.00,62.29
3417.00,62.18
3416.00,62.06
3415.00,61.93
3414.00,61.80
3413.00,61.69
3412.00,61.58
3411.00,61.49
3410.00,61.40
3409.00,61.31
3408.00,61.23
3407.00,61.15
3406.00,61.06
3405.00,60.96
3404.00,60.83
3403.00,60.70
3402.00,60.56
3401.00,60.46
3400.00,60.38
3399.00,60.33
3398.00,60.29
3397.00,60.24
3396.00,60.16
3395.00,60.07
3394.00,59.97
3393.00,59.87
3392.00,59.78
3391.00,59.73
3390.00,59.70
3389.00,59.68
3388.00,59.65
3387.00,59.60
3386.00,59.54
3385.00,59.47
3384.00,59.41
3383.00,59.34
3382.00,59.26
3381.00,59.19
3380.00,59.13
3379.00,59.07
3378.00,59.01
3377.00,58.96
3376.00,58.91
3375.00,58.86
3374.00,58.82
3373.00,58.75
3372.00,58.68
3371.00,58.59
3370.00,58.51
3369.00,58.45
3368.00,58.42
3367.00,58.40
3366.00,58.40
3365.00,58.40
3364.00,58.39
3363.00,58.36
3362.00,58.33
3361.00,58.29
3360.00,58.26
3359.00,58.25
3358.00,58.24
3357.00,58.23
3356.00,58.21
3355.00,58.18
3354.00,58.14
3353.00,58.09
3352.00,58.04
3351.00,58.01
3350.00,58.00
3349.00,58.00
3348.00,58.01
3347.00,58.01
3346.00,57.99
3345.00,57.96
3344.00,57.94
3343.00,57.91
3342.00,57.89
3341.00,57.87
3340.00,57.84
3339.00,57.82
3338.00,57.81
3337.00,57.82
3336.00,57.84
3335.00,57.87
3334.00,57.88
3333.00,57.88
3332.00,57.88
3331.00,57.87
3330.00,57.86
3329.00,57.84
3328.00,57.82
3327.00,57.79
3326.00,57.78
3325.00,57.78
3324.00,57.79
3323.00,57.81
3322.00,57.83
3321.00,57.84
3320.00,57.84
3319.00,57.84
3318.00,57.84
3317.00,57.85
3316.00,57.85
3315.00,57.85
3314.00,57.84
3313.00,57.83
3312.00,57.82
3311.00,57.80
3310.00,57.77
3309.00,57.74
3308.00,57.73
3307.00,57.73
3306.00,57.74
3305.00,57.75
3304.00,57.78
3303.00,57.81
3302.00,57.84
3301.00,57.85
3300.00,57.86
3299.00,57.86
3298.00,57.85
