Created as New Dataset,Sample 007 By FTIR User 2.0 Date Friday, April 12 2024
cm-1,%T
3650.00,93.57
3649.00,93.42
3648.00,93.28
3647.00,93.17
3646.00,93.10
3645.00,93.04
3644.00,92.98
3643.00,92.90
3642.00,92.83
3641.00,92.74
3640.00,92.65
3639.00,92.54
3638.00,92.43
3637.00,92.33
3636.00,92.24
3635.00,92.17
3634.00,92.10
3633.00,92.03
3632.00,91.97
3631.00,91.88
3630.00,91.78
3629.00,91.65
3628.00,91.53
3627.00,91.44
3626.00,91.37
3625.00,91.29
3624.00,91.20
3623.00,91.10
3622.00,91.00
3621.00,90.90
3620.00,90.78
3619.00,90.66
3618.00,90.55
3617.00,90.45
3616.00,90.36
3615.00,90.27
3614.00,90.16
3613.00,90.05
3612.00,89.95
3611.00,89.85
3610.00,89.74
3609.00,89.63
3608.00,89.52
3607.00,89.41
3606.00,89.32
3605.00,89.23
3604.00,89.13
3603.00,89.03
3602.00,88.92
3601.00,88.80
3600.00,88.68
3599.00,88.58
3598.00,88.47
3597.00,88.37
3596.00,88.25
3595.00,88.12
3594.00,87.99
3593.00,87.88
3592.00,87.78
3591.00,87.68
3590.00,87.57
3589.00,87.44
3588.00,87.28
3587.00,87.13
3586.00,87.00
3585.00,86.90
3584.00,86.81
3583.00,86.72
3582.00,86.61
3581.00,86.51
3580.00,86.39
3579.00,86.28
3578.00,86.17
3577.00,86.05
3576.00,85.93
3575.00,85.81
3574.00,85.68
3573.00,85.55
3572.00,85.41
3571.00,85.28
3570.00,85.15
3569.00,85.02
3568.00,84.88
3567.00,84.73
3566.00,84.59
3565.00,84.47
3564.00,84.35
3563.00,84.23
3562.00,84.11
3561.00,83.99
3560.00,83.86
3559.00,83.75
3558.00,83.63
3557.00,83.51
3556.00,83.38
3555.00,83.25
3554.00,83.11
3553.00,82.96
3552.00,82.81
3551.00,82.67
3550.00,82.54
3549.00,82.41
3548.00,82.25
3547.00,82.09
3546.00,81.92
3545.00,81.78
3544.00,81.67
3543.00,81.56
3542.00,81.46
3541.00,81.35
3540.00,81.23
3539.00,81.09
3538.00,80.95
3537.00,80.80
3536.00,80.66
3535.00,80.54
3534.00,80.43
3533.00,80.31
3532.00,80.18
3531.00,80.05
3530.00,79.90
3529.00,79.76
3528.00,79.61
3527.00,79.46
3526.00,79.31
3525.00,79.16
3524.00,79.02
3523.00,78.89
3522.00,78.79
3521.00,78.68
3520.00,78.57
3519.00,78.44
3518.00,78.30
3517.00,78.16
3516.00,78.01
3515.00,77.86
3514.00,77.73
3513.00,77.60
3512.00,77.48
3511.00,77.36
3510.00,77.23
3509.00,77.10
3508.00,76.96
3507.00,76.82
3506.00,76.67
3505.00,76.51
3504.00,76.34
3503.00,76.19
3502.00,76.06
3501.00,75.95
3500.00,75.83
3499.00,75.71
3498.00,75.57
3497.00,75.43
3496.00,75.30
3495.00,75.17
3494.00,75.06
3493.00,74.94
3492.00,74.82
3491.00,74.70
3490.00,74.56
3489.00,74.41
3488.00,74.26
3487.00,74.12
3486.00,74.01
3485.00,73.90
3484.00,73.79
3483.00,73.65
3482.00,73.49
3481.00,73.33
3480.00,73.19
3479.00,73.08
3478.00,72.97
3477.00,72.87
3476.00,72.75
3475.00,72.62
3474.00,72.48
3473.00,72.34
3472.00,72.19
3471.00,72.02
3470.00,71.86
3469.00,71.71
3468.00,71.57
3467.00,71.46
3466.00,71.37
3465.00,71.27
3464.00,71.17
3463.00,71.05
3462.00,70.91
3461.00,70.78
3460.00,70.65
3459.00,70.55
3458.00,70.45
3457.00,70.34
3456.00,70.23
3455.00,70.10
3454.00,69.97
3453.00,69.84
3452.00,69.71
3451.00,69.58
3450.00,69.45
3449.00,69.31
3448.00,69.16
3447.00,69.03
3446.00,68.92
3445.00,68.82
3444.00,68.71
3443.00,68.59
3442.00,68.46
3441.00,68.32
3440.00,68.17
3439.00,68.01
3438.00,67.85
3437.00,67.70
3436.00,67.57
3435.00,67.45
3434.00,67.35
3433.00,67.24
3432.00,67.13
3431.00,67.01
3430.00,66.90
3429.00,66.80
3428.00,66.71
3427.00,66.63
3426.00,66.54
3425.00,66.45
3424.00,66.34
3423.00,66.22
3422.00,66.09
3421.00,65.97
3420.00,65.87
3419.00,65.77
3418.00,65.68
3417.00,65.58
3416.00,65.45
3415.00,65.32
3414.00,65.19
3413.00,65.07
3412.00,64.97
3411.00,64.87
3410.00,64.78
3409.00,64.69
3408.00,64.61
3407.00,64.53
3406.00,64.44
3405.00,64.33
3404.00,64.21
3403.00,64.08
3402.00,63.97
3401.00,63.87
3400.00,63.79
3399.00,63.74
3398.00,63.69
3397.00,63.63
3396.00,63.55
3395.00,63.46
3394.00,63.36
3393.00,63.26
3392.00,63.19
3391.00,63.14
3390.00,63.11
3389.00,63.09
3388.00,63.06
3387.00,63.01
3386.00,62.96
3385.00,62.90
3384.00,62.84
3383.00,62.77
3382.00,62.70
3381.00,62.63
3380.00,62.57
3379.00,62.51
3378.00,62.46
3377.00,62.42
3376.00,62.38
3375.00,62.34
3374.00,62.29
3373.00,62.23
3372.00,62.16
3371.00,62.08
3370.00,62.01
3369.00,61.96
3368.00,61.93
3367.00,61.92
3366.00,61.93
3365.00,61.93
3364.00,61.93
3363.00,61.91
3362.00,61.87
3361.00,61.85
