Created as New Dataset,Sample 003 By FTIR User 2.0 Date Friday, March 01 2024
cm-1,%T
3650.00,86.07
3649.00,85.95
3648.00,85.84
3647.00,85.75
3646.00,85.67
3645.00,85.60
3644.00,85.53
3643.00,85.48
3642.00,85.42
3641.00,85.37
3640.00,85.31
3639.00,85.23
3638.00,85.14
3637.00,85.05
3636.00,84.95
3635.00,84.84
3634.00,84.74
3633.00,84.64
3632.00,84.55
3631.00,84.41
3630.00,84.25
3629.00,84.09
3628.00,83.98
3627.00,83.91
3626.00,83.84
3625.00,83.77
3624.00,83.70
3623.00,83.63
3622.00,83.55
3621.00,83.46
3620.00,83.37
3619.00,83.27
3618.00,83.17
3617.00,83.06
3616.00,82.94
3615.00,82.82
3614.00,82.72
3613.00,82.64
3612.00,82.56
3611.00,82.46
3610.00,82.34
3609.00,82.24
3608.00,82.16
3607.00,82.11
3606.00,82.05
3605.00,81.98
3604.00,81.89
3603.00,81.80
3602.00,81.70
3601.00,81.61
3600.00,81.51
3599.00,81.42
3598.00,81.32
3597.00,81.22
3596.00,81.12
3595.00,81.02
3594.00,80.92
3593.00,80.82
3592.00,80.72
3591.00,80.61
3590.00,80.49
3589.00,80.36
3588.00,80.24
3587.00,80.14
3586.00,80.04
3585.00,79.94
3584.00,79.84
3583.00,79.75
3582.00,79.67
3581.00,79.60
3580.00,79.52
3579.00,79.44
3578.00,79.35
3577.00,79.25
3576.00,79.15
3575.00,79.04
3574.00,78.93
3573.00,78.81
3572.00,78.69
3571.00,78.57
3570.00,78.43
3569.00,78.28
3568.00,78.14
3567.00,78.01
3566.00,77.90
3565.00,77.79
3564.00,77.67
3563.00,77.55
3562.00,77.45
3561.00,77.36
3560.00,77.29
3559.00,77.21
3558.00,77.12
3557.00,77.01
3556.00,76.90
3555.00,76.78
3554.00,76.65
3553.00,76.52
3552.00,76.40
3551.00,76.28
3550.00,76.15
3549.00,76.00
3548.00,75.84
3547.00,75.67
3546.00,75.52
3545.00,75.40
3544.00,75.31
3543.00,75.24
3542.00,75.16
3541.00,75.09
3540.00,74.99
3539.00,74.88
3538.00,74.75
3537.00,74.62
3536.00,74.50
3535.00,74.40
3534.00,74.30
3533.00,74.19
3532.00,74.08
3531.00,73.95
3530.00,73.82
3529.00,73.68
3528.00,73.54
3527.00,73.39
3526.00,73.24
3525.00,73.09
3524.00,72.96
3523.00,72.86
