frame_index,centroid_1_x,centroid_1_y,centroid_2_x,centroid_2_y,centroid_3_x,centroid_3_y,centroid_4_x,centroid_4_y,centroid_5_x,centroid_5_y,centroid_6_x,centroid_6_y,centroid_7_x,centroid_7_y,centroid_8_x,centroid_8_y
0,157.0,355.0,321.0,356.5,222.0,391.0,250.0,392.0,237.0,475.0,246.0,477.0,245.0,511.5,327.0,507.0
1,157.0,355.01285,321.0,356.50534,222.0,390.99652,250.0,391.99792,237.0,474.97275,246.0,477.00995,245.0,511.49557,327.0,506.98416
2,157.0,355.0828,321.0,356.49017,222.0,390.97116,250.0,392.04227,237.0,474.96027,246.0,477.0209,245.0,511.51862,327.0,506.99677
3,157.0,355.03775,321.0,356.47684,222.0,390.9435,250.0,392.04138,237.0,474.9675,246.0,477.01578,245.0,511.50436,327.0,506.99725
4,157.0,355.1955,321.0,356.56558,222.0,391.03998,250.0,392.1204,237.0,475.09012,246.0,477.15005,245.0,511.5826,327.0,507.09207
5,157.0,355.01706,321.0,356.47925,222.0,390.89767,250.0,392.07205,237.0,474.99127,246.0,477.02682,245.0,511.4552,327.0,506.91632
6,157.0,355.01108,321.0,356.49493,222.0,390.9308,250.0,392.07132,237.0,474.97794,246.0,477.03143,245.0,511.4601,327.0,506.95804
7,157.0,355.01755,321.0,356.49423,222.0,390.93555,250.0,392.02472,237.0,474.97302,246.0,477.0079,245.0,511.45865,327.0,506.96997
8,157.0,355.01218,321.0,356.4892,222.0,390.91373,250.0,392.03485,237.0,474.97232,246.0,477.00174,245.0,511.46008,327.0,506.97137
9,157.0,355.01425,321.0,356.45596,222.0,390.89825,250.0,392.02982,237.0,474.9532,246.0,476.99014,245.0,511.46344,327.0,506.97903
10,157.0,355.0628,321.0,356.56146,222.0,390.9689,250.0,392.06027,237.0,475.06482,246.0,477.12875,245.0,511.52493,327.0,507.1161
11,157.0,355.06058,321.0,356.50647,222.0,390.97302,250.0,392.09283,237.0,475.06747,246.0,477.09308,245.0,511.5279,327.0,507.0418
12,157.0,355.0589,321.0,356.49704,222.0,390.97272,250.0,392.08716,237.0,475.06525,246.0,477.09836,245.0,511.53134,327.0,507.03494
13,157.0,355.06223,321.0,356.50027,222.0,390.98334,250.0,392.0837,237.0,475.06345,246.0,477.08856,245.0,511.54016,327.0,507.03775
14,157.0,354.89175,321.0,356.4216,222.0,390.83893,250.0,391.86032,237.0,474.90274,246.0,476.8364,245.0,511.37564,327.0,506.82205
15,157.0,354.9037,321.0,356.38843,222.0,390.78787,250.0,391.9154,237.0,474.88666,246.0,476.82526,245.0,511.37015,327.0,506.8539
16,157.0,355.08353,321.0,356.4611,222.0,390.90973,250.0,392.08777,237.0,475.05728,246.0,477.06345,245.0,511.52036,327.0,507.035
17,157.0,355.12195,321.0,356.45963,222.0,390.91144,250.0,392.1055,237.0,475.09512,246.0,477.1042,245.0,511.55084,327.0,507.0585
18,157.0,354.93286,321.0,356.37585,222.0,390.7832,250.0,392.00812,237.0,474.97388,246.0,477.01117,245.0,511.47696,327.0,506.9597
19,157.0,354.93567,321.0,356.37833,222.0,390.77405,250.0,392.02722,237.0,474.99094,246.0,477.01794,245.0,511.47574,327.0,506.98282
20,157.0,354.91125,321.0,356.38635,222.0,390.7291,250.0,391.9781,237.0,475.00586,246.0,477.02386,245.0,511.47702,327.0,506.96295
21,157.0,354.8867,321.0,356.3477,222.0,390.67233,250.0,391.95786,237.0,475.0161,246.0,477.00964,245.0,511.4801,327.0,506.96118
22,157.0,354.85736,321.0,356.29388,222.0,390.62997,250.0,391.93127,237.0,475.0283,246.0,477.015,245.0,511.48203,327.0,506.97104
23,157.0,354.6593,321.0,356.18585,222.0,390.41537,250.0,391.72693,237.0,474.98163,246.0,476.9361,245.0,511.42404,327.0,506.94998
24,157.0,354.66815,321.0,356.1772,222.0,390.40646,250.0,391.74814,237.0,475.0019,246.0,476.9735,245.0,511.44318,327.0,506.97406
25,157.0,354.67368,321.0,356.22485,222.0,390.4364,250.0,391.7622,237.0,475.0897,246.0,477.1244,245.0,511.5121,327.0,507.14783
26,157.0,354.6118,321.0,356.11307,222.0,390.36105,250.0,391.6634,237.0,475.0476,246.0,477.05206,245.0,511.48138,327.0,507.05167
27,157.0,354.46326,321.0,355.97977,222.0,390.1711,250.0,391.47888,237.0,474.9898,246.0,476.9954,245.0,511.45154,327.0,507.0186
28,157.0,354.41086,321.0,355.9224,222.0,390.14685,250.0,391.4517,237.0,474.96777,246.0,476.96198,245.0,511.41983,327.0,507.02042
29,157.0,354.19867,321.0,355.62265,222.0,389.937,250.0,391.26544,237.0,474.92172,246.0,476.85638,245.0,511.32483,327.0,506.84836
30,157.0,354.2301,321.0,355.62613,222.0,389.98386,250.0,391.27823,237.0,474.9203,246.0,476.8635,245.0,511.37488,327.0,506.93588
31,157.0,354.17648,321.0,355.63785,222.0,390.00363,250.0,391.24142,237.0,474.93048,246.0,476.89438,245.0,511.39142,327.0,506.97418
32,157.0,354.14053,321.0,355.55084,222.0,389.9561,250.0,391.2222,237.0,474.93155,246.0,476.9033,245.0,511.46506,327.0,507.0283
33,157.0,353.9258,321.0,355.32138,222.0,389.7606,250.0,391.17395,237.0,474.90283,246.0,476.8661,245.0,511.41513,327.0,507.01688
34,157.0,353.86884,321.0,355.27756,222.0,389.76807,250.0,391.08484,237.0,474.90356,246.0,476.86728,245.0,511.40778,327.0,507.00018
35,157.0,353.68317,321.0,355.0393,222.0,389.66925,250.0,390.99078,237.0,474.85242,246.0,476.85312,245.0,511.4064,327.0,507.00433
36,157.0,353.59982,321.0,354.94046,222.0,389.57877,250.0,390.82382,237.0,474.80045,246.0,476.71048,245.0,511.37158,327.0,507.00534
37,157.0,353.39835,321.0,354.75717,222.0,389.48212,250.0,390.76328,237.0,474.75797,246.0,476.7091,245.0,511.2774,327.0,506.93222
38,157.0,353.31232,321.0,354.73193,222.0,389.40784,250.0,390.69797,237.0,474.75018,246.0,476.72806,245.0,511.27875,327.0,506.94357
39,157.0,353.1148,321.0,354.5575,222.0,389.2713,250.0,390.6743,237.0,474.6769,246.0,476.6594,245.0,511.26443,327.0,506.9373
40,157.0,353.08267,321.0,354.5087,222.0,389.09863,250.0,390.43542,237.0,474.62473,246.0,476.6101,245.0,511.24002,327.0,506.88998
41,157.0,353.0446,321.0,354.47617,222.0,389.09958,250.0,390.48978,237.0,474.6182,246.0,476.614,245.0,511.27438,327.0,506.91718
42,157.0,352.98834,321.0,354.36755,222.0,389.03558,250.0,390.4228,237.0,474.62656,246.0,476.62997,245.0,511.27594,327.0,506.92627
43,157.0,352.76917,321.0,354.14395,222.0,388.78625,250.0,390.15833,237.0,474.4157,246.0,476.45798,245.0,511.1545,327.0,506.88208
44,157.0,352.74213,321.0,354.15652,222.0,388.79718,250.0,390.19827,237.0,474.54404,246.0,476.5019,245.0,511.25122,327.0,506.90198
45,157.0,352.70547,321.0,354.0593,222.0,388.7158,250.0,390.15295,237.0,474.55487,246.0,476.53268,245.0,511.28116,327.0,506.89352
46,157.0,352.5433,321.0,353.83682,222.0,388.62393,250.0,389.9687,237.0,474.51187,246.0,476.5134,245.0,511.29236,327.0,506.89676
47,157.0,352.53098,321.0,353.75208,222.0,388.58972,250.0,389.87097,237.0,474.48682,246.0,476.50024,245.0,511.2685,327.0,506.89066
48,157.0,352.30408,321.0,353.51245,222.0,388.42905,250.0,389.71237,237.0,474.43732,246.0,476.45993,245.0,511.2302,327.0,506.8978
49,157.0,352.2109,321.0,353.44977,222.0,388.38495,250.0,389.65802,237.0,474.3162,246.0,476.39664,245.0,511.19855,327.0,506.86316
50,157.0,352.2473,321.0,353.43823,222.0,388.3553,250.0,389.68555,237.0,474.3814,246.0,476.4028,245.0,511.2609,327.0,506.90317
51,157.0,352.02057,321.0,353.3076,222.0,388.20316,250.0,389.59622,237.0,474.2508,246.0,476.33844,245.0,511.13773,327.0,506.87173
52,157.0,351.86453,321.0,353.2909,222.0,388.1405,250.0,389.55673,237.0,474.25308,246.0,476.32388,245.0,511.17773,327.0,506.86618
53,157.0,351.81607,321.0,353.2678,222.0,388.1412,250.0,389.52606,237.0,474.27512,246.0,476.32385,245.0,511.17825,327.0,506.85828
54,157.0,351.7605,321.0,353.15866,222.0,388.04556,250.0,389.45444,237.0,474.2729,246.0,476.3181,245.0,511.17758,327.0,506.85025
55,157.0,351.70654,321.0,353.09433,222.0,388.00925,250.0,389.33914,237.0,474.26703,246.0,476.303,245.0,511.2007,327.0,506.83984
56,157.0,351.66357,321.0,353.03464,222.0,387.91135,250.0,389.32285,237.0,474.29733,246.0,476.3606,245.0,511.26248,327.0,506.8898
57,157.0,351.44394,321.0,352.8343,222.0,387.67865,250.0,389.12567,237.0,474.19492,246.0,476.2298,245.0,511.16605,327.0,506.79724
58,157.0,351.35452,321.0,352.64456,222.0,387.52353,250.0,389.02203,237.0,474.1392,246.0,476.22107,245.0,511.14078,327.0,506.788
59,157.0,351.3347,321.0,352.59656,222.0,387.50998,250.0,389.01062,237.0,474.142,246.0,476.2157,245.0,511.19202,327.0,506.80432
60,157.0,351.201,321.0,352.62946,222.0,387.45038,250.0,388.98404,237.0,474.11914,246.0,476.18198,245.0,511.19897,327.0,506.8302
61,157.0,351.16675,321.0,352.41675,222.0,387.3862,250.0,388.9729,237.0,474.11884,246.0,476.19696,245.0,511.20157,327.0,506.85388
62,157.0,350.96234,321.0,352.27905,222.0,387.26593,250.0,388.80624,237.0,474.1108,246.0,476.181,245.0,511.1985,327.0,506.85327
63,157.0,350.9397,321.0,352.24072,222.0,387.2624,250.0,388.80627,237.0,474.14758,246.0,476.2205,245.0,511.24567,327.0,506.92163
64,157.0,350.80957,321.0,352.07956,222.0,387.13907,250.0,388.60107,237.0,474.09494,246.0,476.14838,245.0,511.177,327.0,506.86066
65,157.0,350.63934,321.0,351.9746,222.0,386.99612,250.0,388.45868,237.0,473.90292,246.0,475.96997,245.0,511.0713,327.0,506.7661
66,157.0,350.6516,321.0,351.9751,222.0,387.00696,250.0,388.46835,237.0,474.0161,246.0,476.04117,245.0,511.14273,327.0,506.77252
67,157.0,350.6507,321.0,351.9676,222.0,386.98074,250.0,388.44232,237.0,474.02646,246.0,476.06265,245.0,511.21692,327.0,506.849
68,157.0,350.59348,321.0,351.78903,222.0,386.92743,250.0,388.3886,237.0,474.02722,246.0,476.04718,245.0,511.21063,327.0,506.85526
69,157.0,350.48074,321.0,351.76013,222.0,386.84622,250.0,388.23428,237.0,473.9896,246.0,476.02814,245.0,511.20676,327.0,506.85437
70,157.0,350.55563,321.0,351.7637,222.0,386.84384,250.0,388.34998,237.0,474.08353,246.0,476.1486,245.0,511.30725,327.0,506.9284
71,157.0,350.33487,321.0,351.59647,222.0,386.66708,250.0,388.16367,237.0,473.88284,246.0,475.93378,245.0,511.18356,327.0,506.835
72,157.0,350.34302,321.0,351.60046,222.0,386.6768,250.0,388.17416,237.0,473.8813,246.0,475.95786,245.0,511.19705,327.0,506.8306
73,157.0,350.28784,321.0,351.5323,222.0,386.63315,250.0,388.02597,237.0,473.8472,246.0,475.95404,245.0,511.17728,327.0,506.80484
74,157.0,350.28998,321.0,351.53992,222.0,386.63287,250.0,388.11267,237.0,473.9652,246.0,476.00616,245.0,511.271,327.0,506.8756
75,157.0,350.22845,321.0,351.4614,222.0,386.58838,250.0,388.01596,237.0,473.83145,246.0,475.93045,245.0,511.20114,327.0,506.8021
76,157.0,350.31387,321.0,351.58813,222.0,386.63144,250.0,388.0591,237.0,474.03867,246.0,476.10153,245.0,511.36197,327.0,506.9152
77,157.0,350.17477,321.0,351.37253,222.0,386.57803,250.0,387.96777,237.0,473.82178,246.0,475.87122,245.0,511.2637,327.0,506.866
