frame_index,centroid_1_x,centroid_1_y,centroid_2_x,centroid_2_y,centroid_3_x,centroid_3_y,centroid_4_x,centroid_4_y,centroid_5_x,centroid_5_y,centroid_6_x,centroid_6_y,centroid_7_x,centroid_7_y,centroid_8_x,centroid_8_y
0,224.0,378.5,242.5,379.0,222.5,410.5,241.5,411.0,221.5,505.0,242.0,505.0,223.5,533.0,242.5,533.0
1,224.0,378.61887,242.5,379.11206,222.5,410.74338,241.5,411.2156,221.5,505.11758,242.0,505.0721,223.5,533.2326,242.5,533.19305
2,224.0,378.43027,242.5,378.87375,222.5,410.5149,241.5,410.9362,221.5,504.87613,242.0,504.86978,223.5,532.9765,242.5,532.9439
3,224.0,378.65048,242.5,379.13882,222.5,410.82278,241.5,411.27823,221.5,505.17865,242.0,505.18222,223.5,533.2395,242.5,533.19507
4,224.0,378.53983,242.5,378.9876,222.5,410.5837,241.5,411.0903,221.5,505.07394,242.0,505.08093,223.5,533.13904,242.5,533.0781
5,224.0,378.53186,242.5,378.98593,222.5,410.58075,241.5,411.1049,221.5,505.06467,242.0,505.08145,223.5,533.1339,242.5,533.05975
6,224.0,378.64066,242.5,379.13004,222.5,410.83704,241.5,411.3323,221.5,505.30054,242.0,505.25458,223.5,533.2993,242.5,533.2492
7,224.0,378.54028,242.5,378.9857,222.5,410.61264,241.5,411.0916,221.5,505.0742,242.0,504.99756,223.5,533.08704,242.5,533.0456
8,224.0,378.59235,242.5,379.0834,222.5,410.76474,241.5,411.18747,221.5,505.08035,242.0,505.01547,223.5,533.10315,242.5,533.0488
9,224.0,378.5491,242.5,379.01987,222.5,410.71234,241.5,411.17413,221.5,505.06757,242.0,505.0233,223.5,533.10254,242.5,533.05756
10,224.0,378.54816,242.5,379.03436,222.5,410.7112,241.5,411.1841,221.5,505.10632,242.0,505.0447,223.5,533.14124,242.5,533.07294
11,224.0,378.61487,242.5,379.06918,222.5,410.767,241.5,411.22336,221.5,505.22867,242.0,505.1703,223.5,533.2206,242.5,533.1388
12,224.0,378.59174,242.5,379.05933,222.5,410.76645,241.5,411.16263,221.5,505.04922,242.0,505.08926,223.5,533.11084,242.5,532.98016
13,224.0,378.44006,242.5,378.8838,222.5,410.55505,241.5,410.93585,221.5,505.05252,242.0,505.0625,223.5,533.09894,242.5,532.9455
14,224.0,378.4108,242.5,378.8558,222.5,410.5205,241.5,410.952,221.5,505.04117,242.0,505.05496,223.5,533.06354,242.5,532.84875
