frame_index,centroid_1_x,centroid_1_y,centroid_2_x,centroid_2_y,centroid_3_x,centroid_3_y,centroid_4_x,centroid_4_y,centroid_5_x,centroid_5_y,centroid_6_x,centroid_6_y,centroid_7_x,centroid_7_y,centroid_8_x,centroid_8_y
36,216.5,380.438,250.0,379.08777,220.0,419.69696,244.0,422.1207,220.5,503.9485,243.5,502.6831,219.5,535.8097,244.5,535.1126
37,216.5,380.09164,250.0,378.78796,220.0,419.51938,244.0,421.8442,220.5,503.836,243.5,502.5525,219.5,535.65625,244.5,534.94904
38,216.5,379.8949,250.0,378.5525,220.0,419.3995,244.0,421.6552,220.5,503.8204,243.5,502.54184,219.5,535.6453,244.5,534.94916
39,216.5,379.73807,250.0,378.36813,220.0,419.3576,244.0,421.4496,220.5,503.76947,243.5,502.44916,219.5,535.6628,244.5,534.9783
40,216.5,379.58765,250.0,378.19125,220.0,419.11026,244.0,421.30664,220.5,503.7162,243.5,502.3624,219.5,535.6401,244.5,534.95135
41,216.5,379.4283,250.0,377.9793,220.0,418.93582,244.0,421.04724,220.5,503.63797,243.5,502.30173,219.5,535.58307,244.5,534.9206
42,216.5,379.40414,250.0,377.9562,220.0,418.95193,244.0,421.04218,220.5,503.68723,243.5,502.35233,219.5,535.6537,244.5,535.03516
43,216.5,379.2604,250.0,377.7924,220.0,418.78268,244.0,420.8264,220.5,503.64023,243.5,502.22604,219.5,535.6453,244.5,535.0002
44,216.5,379.14563,250.0,377.67798,220.0,418.66977,244.0,420.75275,220.5,503.635,243.5,502.21698,219.5,535.62933,244.5,534.9942
45,216.5,378.96176,250.0,377.5486,220.0,418.49158,244.0,420.67087,220.5,503.6117,243.5,502.16745,219.5,535.60394,244.5,534.97955
46,216.5,378.8607,250.0,377.44855,220.0,418.45505,244.0,420.63632,220.5,503.56735,243.5,502.11487,219.5,535.5773,244.5,534.96124
47,216.5,378.69662,250.0,377.26505,220.0,418.245,244.0,420.42758,220.5,503.4805,243.5,502.05533,219.5,535.5511,244.5,534.88525
48,216.5,378.62692,250.0,377.18518,220.0,418.18933,244.0,420.36743,220.5,503.45065,243.5,502.05057,219.5,535.5341,244.5,534.9044
49,216.5,378.46783,250.0,376.98846,220.0,418.03186,244.0,420.16367,220.5,503.3955,243.5,502.03152,219.5,535.5064,244.5,534.8797
50,216.5,378.3952,250.0,376.9641,220.0,418.00046,244.0,420.1292,220.5,503.3847,243.5,501.96716,219.5,535.4622,244.5,534.8561
51,216.5,378.38266,250.0,376.8939,220.0,417.92548,244.0,420.06207,220.5,503.39218,243.5,502.0014,219.5,535.499,244.5,534.89746
52,216.5,378.18903,250.0,376.69275,220.0,417.7803,244.0,419.8343,220.5,503.2464,243.5,501.79724,219.5,535.42017,244.5,534.8224
53,216.5,378.0013,250.0,376.56238,220.0,417.65457,244.0,419.70142,220.5,503.2918,243.5,501.80023,219.5,535.39777,244.5,534.79266
54,216.5,377.99542,250.0,376.53012,220.0,417.65118,244.0,419.6363,220.5,503.2768,243.5,501.80576,219.5,535.3979,244.5,534.7912
55,216.5,377.88843,250.0,376.4464,220.0,417.58188,244.0,419.4045,220.5,503.2635,243.5,501.80396,219.5,535.4099,244.5,534.7936
56,216.5,377.6414,250.0,376.2212,220.0,417.39227,244.0,419.18872,220.5,503.21603,243.5,501.7023,219.5,535.3804,244.5,534.74585
57,216.5,377.4732,250.0,376.0623,220.0,417.24713,244.0,419.15317,220.5,503.2116,243.5,501.70428,219.5,535.3777,244.5,534.7451
58,216.5,377.45215,250.0,376.04602,220.0,417.25143,244.0,419.14755,220.5,503.20343,243.5,501.70883,219.5,535.37775,244.5,534.7465
59,216.5,377.34763,250.0,375.88867,220.0,417.11658,244.0,418.98712,220.5,503.1656,243.5,501.70755,219.5,535.36224,244.5,534.7452
60,216.5,377.30136,250.0,375.88318,220.0,417.09164,244.0,418.9773,220.5,503.17572,243.5,501.76337,219.5,535.396,244.5,534.7785
61,216.5,377.18134,250.0,375.7,220.0,416.97,244.0,418.8745,220.5,503.1481,243.5,501.7595,219.5,535.3935,244.5,534.77924
62,216.5,377.07776,250.0,375.56775,220.0,416.90714,244.0,418.85568,220.5,503.15564,243.5,501.7394,219.5,535.3758,244.5,534.7819
63,216.5,376.98294,250.0,375.504,220.0,416.79608,244.0,418.69296,220.5,503.11304,243.5,501.69095,219.5,535.356,244.5,534.7441
64,216.5,376.83936,250.0,375.3282,220.0,416.7115,244.0,418.62595,220.5,502.97498,243.5,501.60144,219.5,535.3001,244.5,534.7216
65,216.5,376.66187,250.0,375.21564,220.0,416.58118,244.0,418.48508,220.5,503.00305,243.5,501.5681,219.5,535.2706,244.5,534.68024
66,216.5,376.66452,250.0,375.20007,220.0,416.5963,244.0,418.485,220.5,503.0035,243.5,501.61298,219.5,535.2768,244.5,534.72424
67,216.5,376.67017,250.0,375.1747,220.0,416.5827,244.0,418.4331,220.5,503.00003,243.5,501.61917,219.5,535.28815,244.5,534.7557
68,216.5,376.62592,250.0,375.13885,220.0,416.55212,244.0,418.42618,220.5,502.99976,243.5,501.66714,219.5,535.3709,244.5,534.85284
69,216.5,376.54376,250.0,375.02408,220.0,416.42883,244.0,418.25592,220.5,502.9844,243.5,501.66547,219.5,535.3663,244.5,534.85144
70,216.5,376.4049,250.0,374.8468,220.0,416.32913,244.0,418.16983,220.5,502.95078,243.5,501.61972,219.5,535.3133,244.5,534.83606
71,216.5,376.37747,250.0,374.85266,220.0,416.30682,244.0,418.0295,220.5,502.9361,243.5,501.58658,219.5,535.31433,244.5,534.82776
72,216.5,376.17294,250.0,374.61978,220.0,416.1457,244.0,417.87677,220.5,502.8536,243.5,501.56674,219.5,535.24664,244.5,534.7831
73,216.5,376.24728,250.0,374.66248,220.0,416.16592,244.0,417.8838,220.5,502.93326,243.5,501.61826,219.5,535.3464,244.5,534.86
74,216.5,376.18533,250.0,374.59055,220.0,416.11838,244.0,417.70044,220.5,502.91888,243.5,501.6086,219.5,535.3475,244.5,534.8665
75,216.5,376.0071,250.0,374.42056,220.0,415.93933,244.0,417.59482,220.5,502.8475,243.5,501.52682,219.5,535.28046,244.5,534.8516
76,216.5,376.05038,250.0,374.41803,220.0,415.9371,244.0,417.59546,220.5,502.91187,243.5,501.65707,219.5,535.39935,244.5,534.9477
77,216.5,375.80426,250.0,374.22852,220.0,415.79553,244.0,417.47302,220.5,502.88602,243.5,501.5413,219.5,535.2806,244.5,534.871
78,216.5,375.5898,250.0,373.97116,220.0,415.565,244.0,417.28125,220.5,502.6771,243.5,501.51135,219.5,535.2115,244.5,534.7122
79,216.5,375.55225,250.0,373.9242,220.0,415.55865,244.0,417.29678,220.5,502.69986,243.5,501.52948,219.5,535.2155,244.5,534.7612
80,216.5,375.4728,250.0,373.80258,220.0,415.4746,244.0,417.2461,220.5,502.70862,243.5,501.51236,219.5,535.2261,244.5,534.7913
81,216.5,375.48212,250.0,373.76788,220.0,415.4602,244.0,417.20523,220.5,502.78625,243.5,501.6329,219.5,535.33344,244.5,534.94244
82,216.5,375.2275,250.0,373.5022,220.0,415.21152,244.0,416.95987,220.5,502.7139,243.5,501.45474,219.5,535.2597,244.5,534.8686
83,216.5,375.22018,250.0,373.50513,220.0,415.18103,244.0,416.9797,220.5,502.71622,243.5,501.48575,219.5,535.26733,244.5,534.85046
84,216.5,375.2107,250.0,373.46942,220.0,415.2084,244.0,416.97586,220.5,502.82718,243.5,501.61072,219.5,535.4365,244.5,535.0137
85,216.5,374.99374,250.0,373.3045,220.0,415.00885,244.0,416.7154,220.5,502.71378,243.5,501.54886,219.5,535.25256,244.5,534.86676
86,216.5,374.80167,250.0,373.22034,220.0,414.89502,244.0,416.60208,220.5,502.69446,243.5,501.497,219.5,535.26215,244.5,534.8827
87,216.5,374.66452,250.0,373.0081,220.0,414.79538,244.0,416.36343,220.5,502.67825,243.5,501.44778,219.5,535.2467,244.5,534.868
88,216.5,374.6566,250.0,373.00693,220.0,414.79205,244.0,416.3637,220.5,502.6554,243.5,501.44925,219.5,535.2415,244.5,534.8721
89,216.5,374.65738,250.0,372.9821,220.0,414.8082,244.0,416.36377,220.5,502.73877,243.5,501.52014,219.5,535.3544,244.5,534.9408
90,216.5,374.47263,250.0,372.75107,220.0,414.58148,244.0,416.11133,220.5,502.60654,243.5,501.40634,219.5,535.1783,244.5,534.81683
91,216.5,374.46307,250.0,372.7427,220.0,414.55234,244.0,416.10428,220.5,502.61972,243.5,501.4243,219.5,535.18475,244.5,534.8315
92,216.5,374.44223,250.0,372.72366,220.0,414.53415,244.0,416.08624,220.5,502.6406,243.5,501.46295,219.5,535.2696,244.5,534.90594
93,216.5,374.36493,250.0,372.57648,220.0,414.4752,244.0,415.97205,220.5,502.65692,243.5,501.4651,219.5,535.28925,244.5,534.9084
94,216.5,374.2703,250.0,372.50565,220.0,414.4042,244.0,415.91513,220.5,502.64337,243.5,501.46588,219.5,535.27313,244.5,534.9101
95,216.5,374.22296,250.0,372.47852,220.0,414.39304,244.0,415.886,220.5,502.7164,243.5,501.461,219.5,535.3471,244.5,534.97473
96,216.5,373.90848,250.0,372.1666,220.0,414.08298,244.0,415.6788,220.5,502.5764,243.5,501.31323,219.5,535.1549,244.5,534.8243
97,216.5,373.97504,250.0,372.20126,220.0,414.12415,244.0,415.67444,220.5,502.71472,243.5,501.49963,219.5,535.35034,244.5,535.00244
98,216.5,373.75665,250.0,371.99857,220.0,413.90366,244.0,415.47452,220.5,502.5581,243.5,501.39856,219.5,535.2141,244.5,534.8719
99,216.5,373.6863,250.0,371.8487,220.0,413.80402,244.0,415.39746,220.5,502.5338,243.5,501.3318,219.5,535.21625,244.5,534.8733
100,216.5,373.5716,250.0,371.8025,220.0,413.75626,244.0,415.2278,220.5,502.54062,243.5,501.3221,219.5,535.21655,244.5,534.8622
101,216.5,373.52954,250.0,371.69858,220.0,413.69385,244.0,415.22595,220.5,502.5566,243.5,501.32382,219.5,535.18665,244.5,534.862
102,216.5,373.45673,250.0,371.66522,220.0,413.61847,244.0,415.07938,220.5,502.5522,243.5,501.3221,219.5,535.1859,244.5,534.88696
103,216.5,373.40613,250.0,371.58072,220.0,413.5864,244.0,415.08398,220.5,502.5533,243.5,501.33936,219.5,535.24207,244.5,534.90533
104,216.5,373.13943,250.0,371.33597,220.0,413.3861,244.0,414.75842,220.5,502.4836,243.5,501.32526,219.5,535.2164,244.5,534.8926
105,216.5,373.02017,250.0,371.28333,220.0,413.3316,244.0,414.68787,220.5,502.48734,243.5,501.2931,219.5,535.18835,244.5,534.8739
106,216.5,372.98807,250.0,371.2015,220.0,413.26843,244.0,414.55426,220.5,502.48517,243.5,501.31458,219.5,535.1966,244.5,534.8815
107,216.5,372.73215,250.0,370.91132,220.0,412.9795,244.0,414.32297,220.5,502.37677,243.5,501.12213,219.5,535.15894,244.5,534.8113
108,216.5,372.7438,250.0,370.89465,220.0,413.0081,244.0,414.33362,220.5,502.4547,243.5,501.23788,219.5,535.1649,244.5,534.8448
109,216.5,372.74774,250.0,370.857,220.0,413.0043,244.0,414.33777,220.5,502.4781,243.5,501.28098,219.5,535.29407,244.5,534.94806
110,216.5,372.5395,250.0,370.6328,220.0,412.74957,244.0,414.17963,220.5,502.45972,243.5,501.23547,219.5,535.2045,244.5,534.90735
111,216.5,372.32562,250.0,370.42282,220.0,412.50833,244.0,413.99445,220.5,502.40012,243.5,501.15887,219.5,535.17365,244.5,534.85706
112,216.5,372.24603,250.0,370.33185,220.0,412.4595,244.0,413.9043,220.5,502.40338,243.5,501.1411,219.5,535.17365,244.5,534.84344
113,216.5,372.18597,250.0,370.2948,220.0,412.41592,244.0,413.8429,220.5,502.41147,243.5,501.14862,219.5,535.21313,244.5,534.8912
114,216.5,372.0321,250.0,370.1131,220.0,412.26492,244.0,413.62103,220.5,502.40253,243.5,501.15436,219.5,535.18634,244.5,534.8802
115,216.5,371.76636,250.0,369.8471,220.0,412.00693,244.0,413.3063,220.5,502.31146,243.5,500.984,219.5,535.0974,244.5,534.77734
116,216.5,371.75082,250.0,369.84744,220.0,412.00638,244.0,413.28458,220.5,502.32263,243.5,501.0399,219.5,535.119,244.5,534.7789
117,216.5,371.65936,250.0,369.75726,220.0,411.94675,244.0,413.23303,220.5,502.34402,243.5,501.06186,219.5,535.1529,244.5,534.8322
118,216.5,371.49835,250.0,369.53214,220.0,411.73828,244.0,412.98047,220.5,502.34143,243.5,501.0637,219.5,535.15326,244.5,534.85345
119,216.5,371.5037,250.0,369.57056,220.0,411.7674,244.0,413.0313,220.5,502.49817,243.5,501.22974,219.5,535.32275,244.5,535.04016
120,216.5,371.30136,250.0,369.2312,220.0,411.54517,244.0,412.7657,220.5,502.25464,243.5,501.01215,219.5,535.12134,244.5,534.7913
121,216.5,371.31128,250.0,369.26135,220.0,411.56464,244.0,412.80103,220.5,502.2783,243.5,501.04218,219.5,535.1556,244.5,534.824
122,216.5,371.30695,250.0,369.268,220.0,411.5516,244.0,412.8063,220.5,502.3108,243.5,501.09058,219.5,535.2383,244.5,534.8906
123,216.5,371.01486,250.0,368.98212,220.0,411.32874,244.0,412.5036,220.5,502.26114,243.5,500.88394,219.5,535.12134,244.5,534.72705
124,216.5,370.93634,250.0,368.8372,220.0,411.23755,244.0,412.45932,220.5,502.24796,243.5,500.88513,219.5,535.112,244.5,534.7467
125,216.5,370.9504,250.0,368.83112,220.0,411.33127,244.0,412.46494,220.5,502.3656,243.5,501.0599,219.5,535.2015,244.5,534.92096
126,216.5,370.9309,250.0,368.81052,220.0,411.3236,244.0,412.45178,220.5,502.3539,243.5,501.03845,219.5,535.2361,244.5,534.93536
127,216.5,370.89566,250.0,368.81635,220.0,411.2769,244.0,412.45734,220.5,502.37848,243.5,501.07434,219.5,535.25476,244.5,534.94336
