Time,Strain,dR/r0
0.6407142000000006,-0.00036565452038959164,0.0
1.4368241,0.008106918963376763,-0.08140433386914449
2.2338741000000004,0.023540152399869854,-0.17502897672799084
3.030685900000001,0.03580130069324666,-0.19872311603569737
3.8269934,0.05590875931402616,-0.15786950694249013
4.6239578,0.06863874960155862,-0.13718751639629667
5.4198487,0.08316996582824665,-0.11015449485096662
6.215864799999999,0.08568310969714307,-0.08920062389399523
7.0112522,0.0711715805485714,-0.10106081058521064
7.8066693,0.06673958963779193,-0.062286848142866
8.602906,0.04761748585974016,-0.006351030999136724
9.398886099999999,0.019029804848246915,0.03139980252896483
10.195934100000002,0.005863838633701219,0.07011652699009302
10.993593500000003,0.008222038267532731,0.08516773113412288
11.7887099,0.03244280254292182,0.1138892731253369
12.5845002,0.0449365443025974,0.08113483837425052
13.380858800000002,0.05321742961376597,0.05569494063944368
14.176795600000002,0.07970407266545451,0.004486026777835465
14.973672100000002,0.0985831235924676,0.042689994323900124
15.7697441,0.11315466842883101,0.10582110268970811
16.566245900000002,0.1278873418058442,0.1190955445001455
17.361956600000003,0.1411950388505198,0.1383942838336092
18.158587400000002,0.15875106037714262,0.025680774239092586
18.954066700000002,0.17218832626688302,0.24183524047106844
19.749780100000002,0.18510989813915585,0.28301796795627016
20.546026700000002,0.1893433895842858,0.34792583865567067
21.3428694,0.18179563369896082,0.31703879304176935
22.1376481,0.16440499897935054,0.292681647118306
22.934160000000002,0.14814025106493472,0.2977996766054062
23.7299063,0.13811749553759767,0.32889897973298476
24.5269915,0.1256147709824673,0.3326313730914711
25.3235347,0.1121219078374026,0.3354312643393068
26.119891000000003,0.09683409872402561,0.3477755889549775
26.9167944,0.06557624308103893,0.34334918507424245
27.7119639,0.03160187989194799,0.384803792970222
28.5074532,0.008207817938441218,0.3849254236803069
29.303526500000004,0.007993748029220368,0.3918178305851152
30.098091099999998,0.025359685670649577,0.3914267043801364
30.893034300000004,0.04897460306084428,0.38372104115887823
31.690038,0.0748938277142858,0.4266209080805719
32.4877812,0.09630557661558406,0.38357079145818535
33.2850587,0.0964041154488962,0.37011271112467853
34.080871800000004,0.10336523717168832,0.364904054833986
34.8773745,0.12190541002467523,0.38790418361944373
35.6737017,0.138988219261169,0.429330172524815
36.4698755,0.1579134790090904,0.42418113913122274
37.2658849,0.17332461373110386,0.4604580946430018
38.0638838,0.18064172116103852,0.49688529985547397
38.8615422,0.19973578554311663,0.5628759223662182
39.6587061,0.21033558079207829,0.6494579086195631
40.4540513,0.22623467806435074,0.708615747122599
41.250008,0.240495529922078,0.7722262235810944
42.0460237,0.2558050533203896,0.8534493038430535
42.8418991,0.27153848953038967,0.9498476038750114
43.6371176,0.27597801955844165,1.0092749378729413
44.4330181,0.266700517886558,0.9896756991380913
45.2294845,0.24511577365974024,0.9095663745939679
46.0244522,0.22381280360012962,0.8726264124664322
46.8223902,0.20137785249584408,0.8858436162956533
47.6179584,0.18829939141818183,0.8782261949621037
48.414109700000004,0.17054571421480466,0.8739214217914533
49.2101545,0.14480193584870107,0.8828934753471245
50.0061125,0.12294435822240295,0.8719037829535751
50.8017782,0.10078937237779238,0.8703989010307607
51.5974239,0.07820955324720753,0.8739810446885539
52.3938933,0.05299563491545467,0.8636853628172534
53.1905591,0.028240354680129875,0.8768429437493739
53.9869122,0.0008411950070127848,0.8818989654234894
54.7826565,0.003506847821753223,0.8723855359621465
55.5788983,0.02245498085551923,0.904147845705482
56.3758669,0.046830141421233755,0.8683526432022742
57.1728641,0.07677889224538965,0.8657626245522319
57.9676469,0.0985793373987664,0.8514936728181597
58.764124699999996,0.12112915798012948,0.8357484581518809
59.560239499999994,0.14591802124675346,0.8560083185866035
60.3562323,0.14234786601733768,0.8754883115272524
61.153230699999995,0.16602747027422066,0.998857625291556
61.94918510000001,0.19176615431590932,1.0449795135725564
62.7450793,0.2128697219896106,1.0846573591349433
63.540948799999995,0.24034624889662345,1.1900849507037885
64.3363204,0.2614586032766234,1.341033431750862
65.1309238,0.2841823513790904,1.4644027455151654
65.9279228,0.2994318499566234,1.6260070307320256
66.7239725,0.31829712120292186,1.7848114247010507
67.5207189,0.33167117178162325,2.0049105418051902
68.3189799,0.3223147636710387,2.0304983043248064
69.1150868,0.2986660665477922,1.8066381748715719
69.9119251,0.2776813265130521,1.7512437336335147
70.7077184,0.2642000436779217,1.697807308336235
71.5027041,0.24560675552610353,1.6728801675164915
72.2988544,0.22112641309090839,1.6238105232028464
73.0960901,0.1888927795460385,1.605957042895097
73.8929154,0.16459881783350608,1.5903334589389033
74.68986530000001,0.12860829485636316,1.5661885705291174
75.4861865,0.10015298468636313,1.569138711477646
76.282777,0.07117134429025944,1.5567061449742667
77.0796419,0.032027686032986176,1.5477340914185955
77.8760429,0.004280396535259696,1.5507152362736165
78.6723609,-0.022265317399220334,1.5291889855044811
79.4691221,-0.02666847261136387,1.504984474197595
80.2648411,-0.011274025905908347,1.4909253950613162
81.0620058,0.019736422259479983,1.4699429051137365
81.8584292,0.05114261655714368,1.482256225822915
82.6545846,0.08036207067623394,1.4699429051137365
83.4507416,0.116090061726234,1.4326714396783224
84.2475333,0.14537768183337663,1.4687981454894083
85.0435941,0.1729196179544156,1.4617841078745148
85.8398637,0.16601445681428584,1.494657788419802
86.6354121,0.18464285137935035,1.7673514555141636
87.43083730000001,0.20549277357357226,1.8581165842280742
88.2273652,0.22981525157740212,1.8803654645100665
89.0238672,0.25631409984207787,2.1061836099040785
89.8215143,0.2814026493824676,2.2197389948056534
90.6168542,0.29875007251805197,2.3949826139632053
