,Time (s),Filtered EMG Response
0,0.0,-108957.23476542618
1,0.016666666666666666,-103594.40350946842
2,0.03333333333333333,-98231.57225351065
3,0.05,-92868.74099755289
4,0.06666666666666667,-87505.90974159513
5,0.08333333333333333,-73095.73978646607
6,0.1,15980.347076904249
7,0.11666666666666667,4044.5840192968626
8,0.13333333333333333,49876.97592457195
9,0.15,37638.241870784645
10,0.16666666666666666,3574.4280941047223
11,0.18333333333333332,-24681.769605380236
12,0.2,-34613.613348168125
13,0.21666666666666667,-31195.536057684436
14,0.23333333333333334,-18399.135107814778
15,0.25,-7034.905079957756
16,0.26666666666666666,1979.8638305181207
17,0.2833333333333333,6333.383124057533
18,0.3,9471.497386376166
19,0.31666666666666665,11761.13337247874
20,0.3333333333333333,10629.965417105348
21,0.35,6234.588324882416
22,0.36666666666666664,271.5118793520009
23,0.3833333333333333,-4442.197198849772
24,0.4,-6544.696991870785
25,0.4166666666666667,-4854.618442136895
26,0.43333333333333335,-2614.09523987241
27,0.45,-954.995731785013
28,0.4666666666666667,-478.39470131798134
29,0.48333333333333334,-193.32746408957456
30,0.5,122.72790683385631
31,0.5166666666666666,1078.5182879623028
32,0.5333333333333333,1510.7556411597634
33,0.55,1370.990626845
34,0.5666666666666667,490.279485772229
35,0.5833333333333334,-789.3197314897012
36,0.6,-1123.6293059673942
37,0.6166666666666667,-823.6416408142551
38,0.6333333333333333,-221.047409659757
39,0.65,64.60056763082318
40,0.6666666666666666,-140.5053157945914
41,0.6833333333333333,-292.29315006451486
42,0.7,-157.2749592287642
43,0.7166666666666667,136.46602164214846
44,0.7333333333333333,360.80102557525083
45,0.75,243.45275309610756
46,0.7666666666666666,116.43277436754906
47,0.7833333333333333,-145.9253950203597
48,0.8,-293.0543097731346
49,0.8166666666666667,-212.4491523498905
50,0.8333333333333334,-22.24059967577537
51,0.85,-6.377721376728914
52,0.8666666666666667,16.582797475642593
53,0.8833333333333333,-117.0243838446246
54,0.9,-116.75873918256703
55,0.9166666666666666,-29.787318335777154
56,0.9333333333333333,112.19838782471263
57,0.95,189.19686594525956
58,0.9666666666666667,99.87385065107756
59,0.9833333333333333,-65.51648390664226
60,1.0,-87.62333272667966
61,1.0166666666666666,-43.0115199265157
62,1.0333333333333332,-39.42549940098689
63,1.05,-27.617404262693356
64,1.0666666666666667,-7.352593145741366
65,1.0833333333333333,-67.84523526521181
66,1.1,-26.72514829948187
67,1.1166666666666667,28.500124820930143
68,1.1333333333333333,42.08429607383056
69,1.15,58.18695934211108
70,1.1666666666666667,9.205534163560307
71,1.1833333333333333,-21.476687309790417
72,1.2,-16.790744017155497
73,1.2166666666666666,-30.419011943652283
74,1.2333333333333334,-42.73860690603313
75,1.25,20.86900542362613
76,1.2666666666666666,-31.414789205447576
77,1.2833333333333332,44.889587506897534
78,1.3,51.325526155410614
79,1.3166666666666667,-23.44680117067898
80,1.3333333333333333,-29.314300383698857
81,1.35,-19.66668871455063
82,1.3666666666666667,-27.491519105887214
83,1.3833333333333333,-28.962249574346558
84,1.4,6.784895025384475
85,1.4166666666666667,16.63184618597807
86,1.4333333333333333,19.114589682971
87,1.45,5.392861001410054
88,1.4666666666666666,-7.258631980910623
89,1.4833333333333334,18.57991645521945
90,1.5,-10.683552883863275
91,1.5166666666666666,-24.834935320955196
92,1.5333333333333332,-17.358894682221013
93,1.55,26.21171470041871
94,1.5666666666666667,-11.200915185874827
95,1.5833333333333333,-5.429139212812823
96,1.6,6.777881327079809
97,1.6166666666666667,-2.3507459503970667
98,1.6333333333333333,-4.0010615737628905
99,1.65,-6.922683538458873
100,1.6666666666666667,6.264102563099714
101,1.6833333333333333,-20.10976460299911
102,1.7,14.034556250166615
103,1.7166666666666666,-0.9845158977794561
104,1.7333333333333334,-16.113687277537366
105,1.75,17.127328632968325
106,1.7666666666666666,34.415115019566144
107,1.7833333333333332,-7.400296307893681
108,1.8,-15.244324255860498
109,1.8166666666666667,-14.785574911919387
110,1.8333333333333333,-23.302977230710244
111,1.8499999999999999,2.7546840070695815
112,1.8666666666666667,5.868158859918603
113,1.8833333333333333,-2.4503322475763376
114,1.9,2.707741563908236
115,1.9166666666666667,15.37353681104718
116,1.9333333333333333,-4.501876067956031
117,1.95,-19.882013943461434
118,1.9666666666666666,-12.990768541691176
119,1.9833333333333334,15.383907152222
120,2.0,3.785593172990268
121,2.0166666666666666,11.859601820061982
122,2.033333333333333,-22.944156081163108
123,2.05,0.7158093658785547
124,2.0666666666666664,-18.295038041450415
125,2.0833333333333335,-3.4085595456700197
126,2.1,-1.096466830160418
127,2.1166666666666667,-3.0844147885370323
128,2.1333333333333333,28.383808611788645
129,2.15,-5.128843063403495
130,2.1666666666666665,-3.129361082232635
131,2.183333333333333,4.754696220063214
132,2.2,-18.749795524820282
133,2.216666666666667,1.8765772201638278
134,2.2333333333333334,-1.3016236544303903
135,2.25,-8.837730732891885
136,2.2666666666666666,15.71138608710593
137,2.283333333333333,-10.52303430950915
138,2.3,3.0953212238622836
139,2.3166666666666664,-14.41013987886084
140,2.3333333333333335,-7.090591871571635
141,2.35,-9.050935995168494
142,2.3666666666666667,12.54913432815161
143,2.3833333333333333,-18.320569344767588
144,2.4,-9.090152898477873
145,2.4166666666666665,23.009830364675643
146,2.433333333333333,3.9021581752151473
147,2.45,-22.909449566300946
148,2.466666666666667,-8.088134203790009
149,2.4833333333333334,12.181690703596168
150,2.5,-5.691049479980791
151,2.5166666666666666,-12.08708027576099
152,2.533333333333333,-12.154762779177585
153,2.55,17.16887710530345
